Regione;Macroarea;Casi notificati al 16/03/2021;% casi nella macroarea;Ampiezza campionaria (p=5, epsilon=2%)
Abruzzo;Sud;212;4,10%;18
Basilicata;Sud;166;3,20%;14
Calabria;Sud;311;6,00%;26
Campania;Sud;2.656;51,40%;216
Emilia-Romagna;Nord-Est;2.184;42,60%;179
Friuli Venezia Giulia;Nord-Est;672;13,10%;55
Lazio;Centro;1.497;43,60%;176
Liguria;Nord-Ovest;343;5,10%;22
Lombardia;Nord-Ovest;4.235;63,40%;272
Marche;Centro;529;15,40%;63
Molise;Sud;18;0,30%;2
P.A. Bolzano;Nord-Est;175;3,40%;15
P.A. Trento;Nord-Est;190;3,70%;16
Piemonte;Nord-Ovest;2.074;31,10%;133
Puglia;Sud;1.126;21,80%;92
Sardegna;Isole;79;1,50%;7
Sicilia;Isole;598;11,60%;49
Toscana;Centro;1.247;36,30%;147
Umbria;Centro;159;4,60%;19
Valle d'Aosta;Nord-Ovest;24;0,40%;2
Veneto;Nord-Est;1.901;37,10%;156
TOTALE;;20.396;;1.679
