variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;0;0;0;0;0;0;0;0
B.1.1.7 + E484K;0;0;0;0;0;0;0;0
B.1.351;0;0;0;0;0;0;0;0
P.1;0;0;0;0;0;0;0;0
B.1.617.2;27;0,7;13;0,6;14;0,8;24;0
B.1.1.529 ;3.515;90,9;1.982;90,8;1.533;90,9;3.060;5
B.1.525;0;0;0;0;0;0;0;0
B.1.617.1;1;<0,1;1;0;0;0;1;0
B.1.617.3;0;0;0;0;0;0;0;0
P.2;0;0;0;0;0;0;0;0
Other;325;8,4;186;8,5;139;8,2;319;1
