Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.273;4.237;1.664.738;2,55;863;9,17;606;2,75;2280;2,37;488;1,25
2021-43;1.281;4.962;1.675.445;2,96;1167;12,40;697;3,16;2573;2,66;525;1,34
2021-44;1.285;5.579;1.679.992;3,32;1285;13,69;829;3,75;2835;2,92;630;1,60
2021-45;1.298;6.647;1.700.266;3,91;1603;17,16;1053;4,79;3225;3,27;766;1,92
2021-46;1.284;7.259;1.686.556;4,30;1758;18,85;1155;5,27;3533;3,61;813;2,06
2021-47;1.290;7.749;1.693.105;4,58;1671;17,97;1242;5,66;3879;3,94;957;2,41
2021-48;1.259;7.469;1.653.729;4,52;1446;16,00;1174;5,50;3912;4,07;937;2,41
2021-49;1.243;6.933;1.633.485;4,24;1229;13,91;1038;4,98;3751;3,95;915;2,37
2021-50;1.220;7.339;1.599.918;4,59;1175;13,29;1083;5,20;4119;4,45;962;2,55
2021-51;1.187;7.595;1.555.118;4,88;983;11,33;1029;5,05;4586;5,10;997;2,73
2021-52;1.152;8.075;1.509.140;5,35;782;9,15;993;4,94;5218;5,99;1082;3,08
2022-01;1.124;7.487;1.471.453;5,09;658;7,92;926;4,75;4902;5,77;1001;2,91
2022-02;1.073;7.136;1.401.288;5,09;631;7,94;879;4,72;4694;5,81;932;2,84
2022-03;993;6.170;1.296.193;4,76;693;9,35;920;5,27;3822;5,13;735;2,43
2022-04;786;4.166;1.020.511;4,08;561;9,47;685;4,87;2460;4,21;460;1,94
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
