Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;94.076;220.706;960.626;389.330;1.664.738
2021-43;94.084;220.855;968.192;392.314;1.675.445
2021-44;93.891;220.960;971.873;393.268;1.679.992
2021-45;93.420;219.944;987.181;399.721;1.700.266
2021-46;93.264;219.312;979.331;394.649;1.686.556
2021-47;92.994;219.426;983.350;397.335;1.693.105
2021-48;90.388;213.377;961.767;388.197;1.653.729
2021-49;88.371;208.615;950.686;385.813;1.633.485
2021-50;88.397;208.072;926.595;376.854;1.599.918
2021-51;86.727;203.899;899.169;365.323;1.555.118
2021-52;85.444;201.206;870.683;351.807;1.509.140
2022-01;83.087;194.858;849.016;344.492;1.471.453
2022-02;79.458;186.194;807.697;327.939;1.401.288
2022-03;74.124;174.441;744.747;302.881;1.296.193
2022-04;59.252;140.604;584.097;236.558;1.020.511
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
