Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;45;586;64.068;9,15;48;14,08;74;10,12;404;10,94;60;3,65
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;166;1.287;220.480;5,84;180;10,31;194;4,97;774;6,59;139;2,98
P.A. di Bolzano;6;15;8.842;1,70;3;4,45;1;0,61;11;2,29;-;-
P. A. di Trento;6;15;8.232;1,82;2;6,04;3;3,26;9;1,81;1;0,50
Veneto;37;60;51.703;1,16;12;3,60;18;2,23;28;1,00;2;0,16
Friuli V.G.;6;37;7.113;5,20;7;5,85;12;3,61;17;10,49;1;1,03
Liguria;17;54;21.534;2,51;4;5,43;1;0,43;42;3,45;7;1,11
Emilia Romagna;31;220;38.166;5,76;50;28,00;47;10,83;109;4,87;14;1,45
Toscana;24;154;39.993;3,85;34;15,41;37;6,81;68;3,33;15;1,26
Umbria;9;85;9.362;9,08;25;24,39;23;9,99;33;7,35;4;2,59
Marche;16;59;18.404;3,21;17;7,79;9;1,64;32;4,19;1;0,32
Lazio;195;713;256.726;2,78;72;7,42;96;3,76;446;2,77;99;1,63
Abruzzo;26;86;30.149;2,85;21;11,86;16;3,40;40;2,32;9;1,40
Molise;11;16;12.164;1,32;-;-;2;3,38;9;1,10;5;1,59
Campania;8;17;7.645;2,22;8;3,94;7;1,75;2;1,62;-;-
Puglia;59;322;76.421;4,21;28;7,66;56;6,32;197;4,30;41;2,27
Basilicata;11;3;14.147;0,21;1;0,56;2;0,82;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;110;433;132.133;3,28;49;9,50;87;6,62;235;2,88;62;1,93
Sardegna;2;-;1.683;-;-;-;-;-;-;-;-;-
