REGIONE/PA;"N.
Laboratori";N. campioni positivi in RT-PCR;N. campioni sequenziati;"N. di sequenze ottenute
per analisi";Numero;;;;;Prevalenza;;;;
;;;;;BETA;GAMMA;DELTA^;OMICRON ;Altre varianti;BETA;GAMMA;DELTA;OMICRON ;Altre varianti
ABRUZZO;2;179;63;62;0;0;52;10;0;0;0;83,9;16,1;0
BASILICATA;2;131;10;10;0;0;5;5;0;0;0;50;50;0
CALABRIA;4;475;80;71;0;0;69;2;0;0;0;97,2;2,8;0
CAMPANIA;3;1770;134;131;0;0;114;17;0;0;0;87;13;0
EMILIA ROMAGNA;3;133;133;133;0;0;111;22;0;0;0;83,5;16,5;0
FRIULI VENEZIA GIULIA;6;254;60;59;0;0;54;5;0;0;0;91,5;8,5;0
LAZIO*;6;362;339;318;0;0;262;55;1;0;0;82,4;17,3;0
LIGURIA;10;610;52;48;0;0;42;6;0;0;0;87,5;12,5;0
LOMBARDIA;16;460;350;339;0;0;202;137;0;0;0;59,6;40,4;0
MARCHE**;5;92;68;67;0;0;63;4;0;0;0;94;6;0
MOLISE;1;7;7;7;0;0;6;1;0;0;0;85,7;14,3;0
PA BOLZANO;1;94;45;45;0;0;43;2;0;0;0;95,6;4,4;0
PA TRENTO;1;17;17;17;0;0;13;4;0;0;0;76,5;23,5;0
PIEMONTE;11;126;126;123;0;0;98;25;0;0;0;79,7;20,3;0
PUGLIA;11;59;57;57;0;0;44;13;0;0;0;77,2;22,8;0
SARDEGNA;10;338;31;30;0;0;25;5;0;0;0;83,3;16,7;0
SICILIA;5;354;246;246;0;0;203;43;0;0;0;82,5;17,5;0
TOSCANA***;3;260;84;84;0;0;42;42;0;0;0;50;50;0
UMBRIA;4;498;68;68;0;0;24;44;0;0;0;35,3;64,7;0
VALLE D'AOSTA;1;5;5;5;0;0;3;2;0;0;0;60;40;0
VENETO;12;219;219;219;0;0;201;18;0;0;0;91,8;8,2;0
ITALIA;117;6443;2194;2139;0;0;1676;462;1;0;0;79;21;0
;;;;;;;;;;;;;;
^ La variante Delta include il lignaggio B.1.617.2 e tutti i sotto-lignaggi AY.n come da documento ECDC SARS-CoV-2 variants of concern as of 22 December 2021. https://www.ecdc.europa.eu/en/covid-19/variants- concern.;;;;;;;;;;;;;;
 La variante Omicron include il lignaggio B.1.529 e tutti i sotto-lignaggi BA.n come da documento ECDC SARS-CoV-2 variants of concern as of 22 December 2021. https://www.ecdc.europa.eu/en/covid-19/variants- concern. ;;;;;;;;;;;;;;
*inclusi i risultati del laboratorio di Sanita_ Militare: n. 43 positivi, n. 20 campioni sequenziati, n. 20 sequenze ottenute per analisi, n. 14 Delta (di cui 3 con lignaggio AY.n), n. 5 Omicron, n. 1 lignaggio B.1.640;;;;;;;;;;;;;;
**incluso il risultato del laboratorio di Sanita_ Militare: n. 1 positivo, n. 1 campione sequenziato, n. 0 sequenze ottenute per analisi.;;;;;;;;;;;;;;
"***La Regione Toscana comunica che ulteriori 95 campioni sono stati analizzati attraverso metodiche di screening; di questi, 67 sono risultati positivi allo screening per Delta, e 28 sono risultati positivi allo screening per Omicron. ";;;;;;;;;;;;;;
