Data;#Ospedali;Bambini ricoverati;Area medica;Area intensiva;0/4 anni;5/18 anni;Ricoveri area medica 5/18 anni;Non vaccinati;Ricoveri area intensiva 0/4 anni;Figli di genitori non vaccinati;Ricoveri area medica e intensiva 5/18 anni;Non vaccinati
10/01/22;15;212;192;20;134;78;71;54;13;9;;
17/01/22;15;206;195;11;107;99;95;66;-;-;;
24/01/22;15;210;194;16;123;87;;;;;87;52
31/01/22;15;210;198;12;113;97;;;;;97;72
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
