variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;0;0;0;0;0;0;0;0
B.1.1.7 + E484K;0;0;0;0;0;0;0;0
B.1.351;0;0;0;0;0;0;0;0
P.1;0;0;0;0;0;0;0;0
B.1.617.2;497;7,1;243;6,6;254;7,7;461;0
B.1.1.529 ;5010;71,4;2.685;72,5;2325;70,2;4.421;4
B.1.525;0;0;0;0;0;0;0;0
B.1.617.1;0;0;0;0;0;0;0;0
B.1.617.3;0;0;0;0;0;0;0;0
P.2;0;0;0;0;0;0;0;0
Altro lignaggio/non indicato (g);1506;21;773;20,9;733;22,1;1.424;3
;;;;;;;;
