;scuola dell'infanzia;scuola primaria;Scuola secondaria I e II grado;;;Personale
"Sondaggio ANP venerdì 21 gennaio
2022";% classi in DAD;% classi in DAD;% classi in DAD;% classi in DDI;DAD + DDI;% personale assente
Abruzzo;32%;28%;9%;37%;47%;7%
Basilicata;21%;18%;4%;27%;32%;4%
Calabria;10%;14%;12%;32%;44%;3%
Campania;18%;13%;6%;26%;33%;7%
Emilia-Romagna;42%;25%;11%;23%;34%;9%
Friuli-Venezia Giulia;30%;21%;11%;21%;32%;9%
Lazio;40%;27%;11%;29%;41%;7%
Liguria;45%;33%;15%;35%;49%;9%
Lombardia;48%;30%;9%;24%;33%;8%
Marche;39%;22%;14%;27%;41%;8%
Molise;25%;7%;1%;36%;38%;4%
Piemonte;47%;36%;9%;25%;35%;8%
Puglia;24%;17%;8%;23%;31%;4%
Sardegna;36%;33%;11%;28%;38%;6%
Sicilia;4%;4%;1%;32%;33%;4%
Toscana;40%;28%;12%;25%;37%;8%
Umbria;27%;18%;5%;39%;45%;6%
Veneto;48%;34%;12%;26%;38%;9%
;32%;23%;9%;29%;38%;7%
