Classi di etˆ;Popolazione;I dose (N.);I dose (%);II dose (N.);II dose (%);dose addizionale/richiamo (N.);dose addizionale/richiamo (%)
05_11;3.656.069;313.058;8,6;-;-;-;-
12_19;4.620.379;3.602.723;78;3.238.149;70,1;171.869;3,7
20_29;6.010.545;5.267.592;87,6;4.890.580;81,4;1.014.199;16,9
30_39;6.794.108;5.656.506;83,3;5.247.601;77,2;1.319.805;19,4
40_49;8.782.667;7.215.202;82,2;6.745.833;76,8;2.403.452;27,4
50_59;9.645.613;8.223.091;85,3;7.607.072;78,9;3.862.094;40
60_69;7.552.718;6.659.895;88,2;6.081.307;80,5;3.862.782;51,1
70_79;6.016.425;5.464.149;90,8;5.221.274;86,8;3.673.607;61,1
80+;4.587.490;4.285.367;93,4;4.187.120;91,3;3.321.216;72,4
Totale;57.666.014;46.687.583;81;43.218.936;74,9;19.629.024;34
