Regione/ripartizione;Anno;Casi;tasso di incidenza standardizzato;Anno;Casi;tasso di incidenza standardizzato
Piemonte;2020;198554;4209;2021;297434;7527
Valle d'Aosta;2020;7216;5095;2021;8919;7618
Lombardia;2020;471311;4362;2021;767244;8271
Pa Bolzano;2020;29972;5395;2021;60164;11756
Pa Trento;2020;22755;3615;2021;39853;7665
Veneto;2020;264816;5151;2021;396339;8901
Friuli-Venezia Giulia;2020;51653;4049;2021;106804;9429
Liguria;2020;59503;3752;2021;94065;7027
Emilia-Romagna;2020;176058;3828;2021;399327;9944
Toscana;2020;119483;3203;2021;282221;8645
Umbria;2020;28624;3390;2021;63053;8405
Marche;2020;42014;2651;2021;102755;7425
Lazio;2020;171402;2966;2021;356758;6823
Abruzzo;2020;35857;2730;2021;77032;6738
Molise;2020;6817;2265;2021;11466;4395
Campania;2020;200261;3464;2021;402026;7527
Puglia;2020;92672;2247;2021;245350;6613
Basilicata;2020;10783;1921;2021;27042;5514
Calabria;2020;24182;1290;2021;89575;5237
Sicilia;2020;98370;1980;2021;298343;6676
Sardegna;2020;31659;1970;2021;60960;4417
Nord;2020;1281838;4354;2021;2170149;8581
Centro;2020;361523;3030;2021;804787;7569
Mezzogiorno;2020;500601;2444;2021;1211794;6547
Italia;2020;2143962;3438;2021;4186730;7681
;;;;;;
;;;;;;
