Regione;Macroarea;Casi notificati al 13/01/2022;%  casi  nella macroarea;"Ampiezza campionaria
(p=5%, __=2%)"
Abruzzo;Sud;3610;7,40%;34
Basilicata;Sud;965;2,00%;9
Calabria;Sud;3207;6,60%;30
Campania;Sud;24451;50,10%;227
Emilia-Romagna;Nord-Est;20648;43,30%;196
Friuli Venezia Giulia;Nord-Est;4039;8,50%;39
Lazio;Centro;10272;37,40%;169
Liguria;Nord-Ovest;5692;9,40%;43
Lombardia;Nord-Ovest;39683;65,40%;297
Marche;Centro;1955;7,10%;32
Molise;Sud;727;1,50%;7
P.A. Bolzano;Nord-Est;2651;5,60%;26
P.A. Trento;Nord-Est;2357;4,90%;23
Piemonte;Nord-Ovest;14741;24,30%;111
Puglia;Sud;3218;6,60%;30
Sardegna;Isole;1296;2,70%;12
Sicilia;Isole;11354;23,30%;106
Toscana;Centro;13151;47,90%;216
Umbria;Centro;2068;7,50%;34
Valle d'Aosta;Nord-Ovest;574;0,90%;5
Veneto;Nord-Est;17956;37,70%;171
TOTALE;;184615;;1817
