SEDE;COMIRNATY;MODERNA;VAXZEVRIA;Totale
Arti;303 (18,,8%);3 (14,2%);56 (38,9%);362 (23,4%)
Estremitˆ;164 (15%);3 (14,2%);18 (12,4%);185 (11,9%)
Faccia;286 (20,7%);2 (9,5%);15 (10,3%);303 (19,6%)
Non specificato;167 (12%);7 (33,5%);20 (13,8%);194 (12,5%)
Bocca-lingua-gola;119 (8,6%);1 (4,8%);15 (10,3%);135 (8,7%)
Misto;128 (9,3%);3 (14,2%);8 (5,6%);139 (9,0%)
Generalizzato;100 (7,2%);1 (4,8%);4 (2,8%);105 (6,8%)
Labbra;73 (5,3%);1 (4,8%);5 (3,4%);79 (5,1%)
Periorale;24 (1,7%);0;0;24 (1,54%)
Sede iniezione;19 (1,4%);0;4 (2,8%);23 (1,48%)
Totale;1.383 (100%);21 (100%);145 (100%);1.549 (100%)
