Caratteristiche;Comirnaty;Moderna;Vaxzevria;Totale
Numero di segnalazioni;68;2;10;80
Etˆ mediana (range);46 (20 - 82);62 (47 - 76);48 (20 - 57);47 (20 - 82)
Sesso femminile (%);91% (n. 62);100% (n. 2);80% (n. 8);90% (n. 72)
Tasso per milione di dosi somministrate;9,7;4,7;6,1;8,8
Tasso per milione di donne vaccinate ;14,7;7,9;8,1;13,2
Tasso per milione di uomini vaccinati ;2,2;0;3;2,2
Ipotensione ;26% (n. 18);50% (n. 1);10% (n. 1);25% (n. 20)
Somministrazione adrenalina ;25% (n. 17);50% (n. 1);30% (n. 3);26% (n. 21)
Inizio sintomi ² 15 minuti ;31% (n. 21);50% (n. 1);50% (n. 5);34% (n. 27)
Inizio sintomi ² 60 minuti ;49% (n. 33);50% (n. 1);60% (n. 6);50% (n. 40)
Intervallo in minuti non precisato (stesso giorno) ;44% (n. 30);50% (n. 1);40% (n. 4);44% (n. 35)
Allergie o reazioni allergiche ad alimenti, inalanti o insetti ;29% (n. 20);50% (n. 1);20% (n. 2);29% (n. 23)
Allergie o reazioni allergiche a farmaci o vaccini ;37% (n. 25);50% (n. 1);20% (n. 2);35% (n. 28)
Precedenti anafilassi;6% (n. 4);0% (n. 0);0% (n. 0);5% (n. 4)
Tasso per milione di prime dosi ;10,9;0;6,1;9
Tasso per milione di seconde dosi ;6,1;19,8;0;6,6
;;;;
Classificazione anafilassi (secondo Brighton Collaboration) ;;;;
Livello 1;58,8% (n. 40);50% (n. 1);40% (n. 4);56,3% (n. 45)
Livello 2;32,4% (n. 22);50% (n. 1);60% (n. 6);36,3% (n. 29)
Livello 3;8,8% (n. 6);0% (n. 0);0% (n. 0);7,5% (n. 6)
Totale;68;2;10;80
