Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2006-42;16-22 ottobre 2006;648;216;839.158;0,26;51.835;37;0,71;102.959;41;0,4;517.666;126;0,24;166.698;12;0,07
2006-43;23-29 ottobre 2006;728;257;940.408;0,27;59.022;36;0,61;116.931;47;0,4;577.968;132;0,23;186.487;42;0,23
2006-44;30 ottobre-5 novembre 2006;786;264;1.018.516;0,26;62.682;35;0,56;125.363;42;0,34;628.684;139;0,22;201.787;48;0,24
2006-45;6-12 novembre 2006;856;482;1.112.240;0,43;67.877;68;1;136.640;71;0,52;688.677;268;0,39;219.046;75;0,34
2006-46;13-19 novembre 2006;871;576;1.128.853;0,51;69.186;97;1,4;138.125;100;0,72;698.096;294;0,42;223.446;85;0,38
2006-47;20-26 novembre 2006;879;599;1.139.219;0,53;69.851;103;1,47;139.663;113;0,81;704.022;294;0,42;225.683;89;0,39
2006-48;27 novembre-3 dicembre 2006;893;683;1.157.608;0,59;71.539;122;1,71;142.777;141;0,99;714.675;342;0,48;228.617;78;0,34
2006-49;4-10 dicembre 2006;890;751;1.155.228;0,65;70.660;125;1,77;140.718;149;1,06;715.045;373;0,52;228.805;104;0,45
2006-50;11-17 dicembre 2006;878;1.022;1.141.139;0,9;70.294;195;2,77;139.662;175;1,25;705.366;521;0,74;225.817;131;0,58
2006-51;18-24 dicembre 2006;846;1.221;1.101.079;1,11;67.194;245;3,65;133.957;259;1,93;681.364;566;0,83;218.564;151;0,69
2006-52;25-31 dicembre 2006;846;1.783;1.098.249;1,62;66.726;353;5,29;133.863;363;2,71;680.464;850;1,25;217.196;217;1
2007-01;1-7 gennaio 2007;881;2.069;1.143.863;1,81;68.450;298;4,35;138.304;338;2,44;710.399;1.169;1,65;226.710;264;1,16
2007-02;8-14 gennaio 2007;896;2.599;1.162.870;2,23;70.343;335;4,76;140.988;437;3,1;720.948;1.536;2,13;230.591;291;1,26
2007-03;15-21 gennaio 2007;902;3.639;1.171.110;3,11;70.797;727;10,27;143.040;924;6,46;725.338;1.719;2,37;231.935;269;1,16
2007-04;22-28 gennaio 2007;896;5.436;1.164.898;4,67;69.517;1.165;16,76;140.697;1.552;11,03;723.060;2.322;3,21;231.624;397;1,71
2007-05;29 gennaio-4 febbraio 2007;895;7.210;1.160.725;6,21;70.095;1.371;19,56;140.652;2.095;14,89;719.488;3.284;4,56;230.490;460;2
2007-06;5-11 febbraio 2007;897;8.830;1.165.694;7,57;70.261;1.594;22,69;140.822;2.448;17,38;723.288;4.191;5,79;231.323;597;2,58
2007-07;12-18 febbraio 2007;876;8.729;1.134.904;7,69;68.784;1.646;23,93;137.875;2.390;17,33;703.445;4.098;5,83;224.800;595;2,65
2007-08;19-25 febbraio 2007;874;7.335;1.132.554;6,48;67.849;1.426;21,02;137.319;1.947;14,18;702.049;3.443;4,9;225.337;519;2,3
2007-09;26 febbraio-4 marzo 2007;867;5.202;1.123.879;4,63;68.345;980;14,34;137.179;1.358;9,9;694.920;2.481;3,57;223.435;383;1,71
2007-10;5-11 marzo 2007;852;3.424;1.100.967;3,11;66.668;620;9,3;134.331;834;6,21;681.988;1.675;2,46;217.980;295;1,35
2007-11;12-18 marzo 2007;830;2.417;1.076.824;2,24;64.592;453;7,01;130.137;594;4,56;668.579;1.166;1,74;213.516;204;0,96
2007-12;19-25 marzo 2007;813;1.886;1.056.618;1,78;62.493;373;5,97;127.521;462;3,62;655.249;885;1,35;211.355;166;0,79
2007-13;26 marzo-1 aprile 2007;806;1.421;1.047.465;1,36;60.894;262;4,3;124.301;328;2,64;652.075;723;1,11;210.195;108;0,51
2007-14;2-8 aprile 2007;758;906;985.213;0,92;56.441;158;2,8;114.510;191;1,67;616.710;485;0,79;197.552;72;0,36
2007-15;9-15 aprile 2007;742;689;965.529;0,71;56.816;134;2,36;113.822;139;1,22;602.059;349;0,58;192.832;67;0,35
2007-16;16-22 aprile 2007;719;518;933.995;0,55;55.421;116;2,09;111.333;111;1;580.421;239;0,41;186.820;52;0,28
2007-17;23-29 aprile 2007;664;268;867.269;0,31;49.762;54;1,09;98.420;67;0,68;543.972;114;0,21;175.115;33;0,19
