Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.239;4.166;1.618.253;2,57;853;9,34;594;2,77;2240;2,40;479;1,27
2021-43;1.248;4.880;1.630.908;2,99;1150;12,59;681;3,17;2535;2,69;514;1,35
2021-44;1.250;5.444;1.633.623;3,33;1254;13,87;795;3,73;2788;2,94;607;1,58
2021-45;1.258;6.481;1.647.241;3,93;1568;17,43;1019;4,81;3159;3,30;735;1,90
2021-46;1.224;7.068;1.607.871;4,40;1712;19,63;1107;5,36;3468;3,70;781;2,07
2021-47;1.215;7.454;1.593.144;4,68;1602;18,56;1182;5,76;3752;4,05;918;2,45
2021-48;1.148;6.830;1.505.871;4,54;1356;16,62;1090;5,63;3569;4,07;815;2,31
2021-49;1.057;5.762;1.385.423;4,16;1089;14,72;864;4,88;3087;3,82;722;2,21
2021-50;775;4.480;1.014.710;4,42;789;15,13;679;5,36;2459;4,14;553;2,28
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
