Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;91.330;214.534;934.148;378.241;1.618.253
2021-43;91.338;214.748;942.954;381.868;1.630.908
2021-44;90.407;213.204;946.956;383.056;1.633.623
2021-45;89.936;212.059;957.721;387.525;1.647.241
2021-46;87.227;206.501;936.675;377.468;1.607.871
2021-47;86.292;205.088;926.920;374.844;1.593.144
2021-48;81.580;193.761;877.390;353.140;1.505.871
2021-49;73.989;176.979;808.168;326.287;1.385.423
2021-50;52.149;126.703;593.763;242.095;1.014.710
2021-51;;;;;
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
