Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;47;419;66.405;6,31;64;25,40;48;8,66;240;5,96;67;3,71
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;148;1.131;203.046;5,57;157;11,87;138;4,50;719;6,34;117;2,56
P.A. di Bolzano;5;18;7.659;2,35;7;20,77;4;4,68;6;1,26;1;0,58
P. A. di Trento;6;13;8.501;1,53;4;5,45;1;0,62;8;1,89;-;-
Veneto;44;93;60.560;1,54;11;2,66;6;0,59;61;1,85;15;1,14
Friuli V.G.;7;17;8.982;1,89;5;5,51;-;-;10;2,67;2;1,09
Liguria;15;75;18.797;3,99;23;27,58;11;5,00;32;3,12;9;1,63
Emilia Romagna;37;243;42.121;5,77;62;20,81;39;5,83;125;5,47;17;1,77
Toscana;27;178;44.129;4,03;43;18,00;57;9,24;65;2,87;13;1,01
Umbria;9;46;9.784;4,70;17;22,73;10;5,95;17;3,23;2;0,96
Marche;13;76;16.431;4,63;12;9,69;3;0,83;54;6,62;7;2,06
Lazio;190;1.038;249.861;4,15;177;18,37;145;5,71;594;3,81;122;2,07
Abruzzo;26;164;32.387;5,06;25;16,39;22;5,87;89;4,55;28;3,70
Molise;11;12;12.164;0,99;-;-;3;5,08;7;0,86;2;0,63
Campania;7;29;6.954;4,17;14;10,33;10;3,64;4;1,86;1;1,41
Puglia;56;269;73.073;3,68;60;22,93;58;8,73;124;2,72;27;1,49
Basilicata;11;10;14.147;0,71;7;3,93;1;0,41;1;0,14;1;0,36
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;103;608;122.984;4,94;86;23,14;105;9,50;297;3,83;120;3,91
Sardegna;10;36;12.096;2,98;15;12,53;18;8,04;3;0,50;-;-
