Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2003-42;13-19 ottobre 2003;776;357;1.000.656;0,36;60.552;43;0,71;124.369;48;0,39;624.850;206;0,33;190.885;60;0,31
2003-43;20-26 ottobre 2003;824;500;1.066.723;0,47;63.246;61;0,96;130.992;66;0,5;668.897;299;0,45;203.588;74;0,36
2003-44;27 ottobre-2 novembre 2003;887;597;1.150.866;0,52;67.190;72;1,07;140.176;76;0,54;724.178;354;0,49;219.322;95;0,43
2003-45;3-9 novembre 2003;922;723;1.204.797;0,6;67.698;90;1,33;144.237;98;0,68;760.942;431;0,57;231.920;104;0,45
2003-46;10-16 novembre 2003;955;742;1.251.026;0,59;69.826;90;1,29;148.325;95;0,64;792.406;438;0,55;240.469;119;0,49
2003-47;17-23 novembre 2003;952;866;1.244.433;0,7;70.630;113;1,6;149.176;119;0,8;785.088;523;0,67;239.539;111;0,46
2003-48;24-30 novembre 2003;956;805;1.250.648;0,64;70.893;108;1,52;149.869;125;0,83;789.786;488;0,62;240.100;84;0,35
2003-49;1-7 dicembre 2003;949;990;1.242.983;0,8;69.728;142;2,04;147.142;175;1,19;786.028;562;0,71;240.085;111;0,46
2003-50;8-14 dicembre 2003;960;1.238;1.256.363;0,99;69.854;207;2,96;148.522;211;1,42;796.545;690;0,87;241.442;130;0,54
2003-51;15-21 dicembre 2003;949;1.615;1.242.043;1,3;69.775;225;3,22;146.986;293;1,99;786.760;898;1,14;238.522;199;0,83
2003-52;22-28 dicembre 2003;922;1.589;1.207.104;1,32;66.498;208;3,13;140.657;313;2,23;766.001;880;1,15;233.948;188;0,8
2004-01;29 dicembre 2003-4 gennaio 2004;917;2.058;1.202.319;1,71;64.167;169;2,63;138.457;308;2,22;767.556;1.297;1,69;232.139;284;1,22
2004-02;5-11 gennaio 2004;940;2.670;1.227.765;2,17;68.036;240;3,53;144.499;353;2,44;779.243;1.755;2,25;235.987;322;1,36
2004-03;12-18 gennaio 2004;950;3.512;1.243.420;2,82;68.895;440;6,39;146.349;586;4;788.509;2.092;2,65;239.667;394;1,64
2004-04;19-25 gennaio 2004;947;4.543;1.237.574;3,67;69.575;805;11,57;147.078;945;6,43;784.420;2.391;3,05;236.501;402;1,7
2004-05;26 gennaio-1 febbraio 2004;947;5.440;1.236.811;4,4;68.181;851;12,48;145.941;1.225;8,39;784.564;2.925;3,73;238.125;439;1,84
2004-06;2-8 febbraio 2004;951;5.988;1.240.307;4,83;69.397;968;13,95;147.342;1.340;9,09;785.714;3.172;4,04;237.854;508;2,14
2004-07;9-15 febbraio 2004;934;5.809;1.222.902;4,75;66.420;963;14,5;141.905;1.283;9,04;778.672;3.005;3,86;235.905;558;2,37
2004-08;16-22 febbraio 2004;932;5.618;1.215.472;4,62;68.480;878;12,82;145.206;1.272;8,76;768.755;2.960;3,85;233.031;508;2,18
2004-09;23-29 febbraio 2004;919;4.793;1.197.005;4;67.357;718;10,66;143.483;1.099;7,66;757.337;2.521;3,33;228.828;455;1,99
2004-10;1-7 marzo 2004;919;4.267;1.198.232;3,56;66.184;612;9,25;142.221;1.051;7,39;760.293;2.200;2,89;229.534;404;1,76
2004-11;8-14 marzo 2004;916;3.922;1.191.925;3,29;66.033;614;9,3;141.839;976;6,88;755.914;2.018;2,67;228.139;314;1,38
2004-12;15-21 marzo 2004;899;3.205;1.168.862;2,74;66.678;434;6,51;140.349;914;6,51;737.824;1.566;2,12;224.011;291;1,3
2004-13;22-28 marzo 2004;877;2.458;1.144.868;2,15;65.752;391;5,95;138.354;761;5,5;722.765;1.124;1,56;217.997;182;0,83
2004-14;29 marzo-4 aprile 2004;850;1.870;1.110.636;1,68;63.431;259;4,08;133.216;572;4,29;701.362;911;1,3;212.627;128;0,6
2004-15;5-11 aprile 2004;818;1.285;1.067.732;1,2;60.200;159;2,64;128.768;370;2,87;675.375;649;0,96;203.389;107;0,53
2004-16;12-18 aprile 2004;778;782;1.016.345;0,77;55.831;96;1,72;120.664;196;1,62;645.241;405;0,63;194.609;85;0,44
2004-17;19-25 aprile 2004;695;539;901.833;0,6;49.767;74;1,49;107.274;124;1,16;570.423;273;0,48;174.369;68;0,39
;;;;;;;;;;;;;;;;;
