Data;Target;N. aderenti;N. che hanno ricevuto una dose;N. che hanno già completato il ciclo vaccinale
4-10 ottobre 2021;128.000;120.500;117.600;115.100
18-24 ottobre 2021;128.000;121.200;117.800;115.700
25-31 ottobre 2021;128.000;121.200;118.000;116.000
8-14 novembre 2021;128.000;121.200;119.000;116.300
15-21 novembre 2021;128.000;121.200;119.000;116.300
22-28 novembre 2021;128.000;121.200;119.000;116.500
29 novembre - 5 dicembre 2021;128.000;121.200;119.000;116.500
6-12 dicembre 2021;126.500;119.500;119.000;116.500
13-19 dicembre 2021;126.500;119.500;119.000;116.700
20-26 dicembre 2021;126.500;120.700;119.550;116.900
;;;;
;;;;
;;;;
;;;;
