Data;Target;N. studenti aderenti;N. studenti che hanno ricevuto una dose;N. studenti che hanno già la doppia dose
4-10 ottobre 2021;315.000;219.000;210.000;190.000
18-24 ottobre 2021;315.000;222.000;216.000;203.000
25-31 ottobre 2021;316.000;227.000;218.000;206.000
8-14 novembre 2021;316.000;230.000;222.000;212.000
15-21 novembre 2021;316.700;231.700;224.100;214.100
22-28 novembre 2021;316.700;233.000;226.000;215.000
29 novembre - 5 dicembre 2021;316.700;240.000;233.000;217.000
6-12 dicembre 2021;316.700;245.000;238.000;219.000
13-19 dicembre 2021;313.000;247.500;242.000;221.000
20-26 dicembre 2021;312.400;249.100;243.700;224.100
10-16 gennaio 2022;313.000;260.000;254.000;240.000
17-23 gennaio 2022;313.000;261.000;255.000;243.000
24-30 gennaio 2022;313.000;262.000;257.000;247.000
31 gennaio - 6 febbraio 2022;313.000;264.000;259.000;251.000
7-13 febbraio 2021;313.000;264.000;260.000;253.000
14-20 febbraio 2021;313.000;264.000;260.000;255.000
