Data;Incidenza Nido (0-2 anni) - 2021;Incidenza Materna (3-5 anni) - 2021;Incidenza Elementari (6-10 anni) - 2021;Incidenza Medie (11-13 anni) - 2021;Incidenza Superiori (14-18 anni) - 2021
4-10 ottobre 2021;36,9;34,5;36,1;44,6;34,6
11-17 ottobre 2021;26,2;32,4;39,5;48;42,4
18-24 ottobre 2021;16,7;33,4;52,8;53,2;35,1
25-31 ottobre 2021;34,5;50,1;65,6;58,3;37
8-14 novembre 2021;39,3;53,3;130,6;123,6;66,5
15-21 novembre 2021;57,1;90,9;220,1;162,2;84,9
22-28 novembre 2021;61,9;114,9;281,7;242;133,6
29 novembre - 5 dicembre 2021;103,6;156,6;478,5;357,8;176
6-12 dicembre 2021;134,5;216,2;574,6;447,9;229,5
13-19 dicembre 2021;183,3;336,3;758,5;550;392,4
20-26 dicembre 2021;300;464,7;1.033,60;705,3;705,7
3-9 gennaio 2022;777,3;956,5;1.915;2.435,90;3.421,90
10-16 gennaio 2022;1.446,30;2.146;3.209;3.243,30;3.552,90
17-23 gennaio 2022;2.083,20;4.202,10;4.894,20;4.005,30;3.191,90
