Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.248;4.194;1.630.267;2,57;860;9,34;602;2,78;2252;2,39;480;1,26
2021-43;1.257;4.907;1.642.963;2,99;1161;12,61;692;3,20;2537;2,67;517;1,34
2021-44;1.260;5.489;1.647.069;3,33;1271;13,88;814;3,77;2795;2,93;609;1,58
2021-45;1.270;6.546;1.662.889;3,94;1589;17,45;1035;4,82;3179;3,29;743;1,90
2021-46;1.248;7.146;1.638.971;4,36;1736;19,36;1133;5,36;3488;3,66;789;2,05
2021-47;1.247;7.617;1.633.916;4,66;1652;18,48;1211;5,73;3814;4,02;940;2,45
2021-48;1.199;7.278;1.572.159;4,63;1419;16,66;1145;5,68;3807;4,16;907;2,45
2021-49;1.169;6.613;1.531.486;4,32;1200;14,50;989;5,05;3560;4,00;864;2,39
2021-50;1.103;6.696;1.443.333;4,64;1126;14,24;992;5,31;3713;4,44;865;2,54
2021-51;971;6.375;1.271.447;5,01;885;12,95;904;5,56;3766;5,08;820;2,74
2021-52;696;5.167;911.346;5,67;574;12,04;701;6,05;3263;6,11;629;2,94
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
