Settimana n.;Settimana;Virus;N.;N. campioni
2015-46;9-15 novembre 2015;FLU A;0;101
2015-46;9-15 novembre 2015;A;;101
2015-46;9-15 novembre 2015;A(H3N2) ;;101
2015-46;9-15 novembre 2015;A(H1N1) pdm09 ;;101
2015-46;9-15 novembre 2015;FLU B;0;101
2015-47;16-22 novembre 2015;FLU A;0;111
2015-47;16-22 novembre 2015;A;;111
2015-47;16-22 novembre 2015;A(H3N2);;111
2015-47;16-22 novembre 2015;A(H1N1) pdm09 ;;111
2015-47;16-22 novembre 2015;FLU B;0;111
2015-48;23-29 novembre 2015;FLU A;1;114
2015-48;23-29 novembre 2015;A;;114
2015-48;23-29 novembre 2015;A(H3N2);1;114
2015-48;23-29 novembre 2015;A(H1N1) pdm09 ;;114
2015-48;23-29 novembre 2015;FLU B;0;114
2015-49;30 novembre-6 dicembre 2015;FLU A;2;146
2015-49;30 novembre-6 dicembre 2015;A;1;146
2015-49;30 novembre-6 dicembre 2015;A(H3N2);1;146
2015-49;30 novembre-6 dicembre 2015;A(H1N1) pdm09 ;;146
2015-49;30 novembre-6 dicembre 2015;FLU B;2;146
2015-50;7-13 dicembre 2015;FLU A;3;150
2015-50;7-13 dicembre 2015;A;;150
2015-50;7-13 dicembre 2015;A(H3N2);2;150
2015-50;7-13 dicembre 2015;A(H1N1) pdm09 ;1;150
2015-50;7-13 dicembre 2015;FLU B;0;150
2015-51;14-20 dicembre 2015;FLU A;6;166
2015-51;14-20 dicembre 2015;A;;166
2015-51;14-20 dicembre 2015;A(H3N2);2;166
2015-51;14-20 dicembre 2015;A(H1N1) pdm09 ;4;166
2015-51;14-20 dicembre 2015;FLU B;1;166
2015-52;21-27 dicembre 2015;FLU A;10;116
2015-52;21-27 dicembre 2015;A;;116
2015-52;21-27 dicembre 2015;A(H3N2);3;116
2015-52;21-27 dicembre 2015;A(H1N1) pdm09 ;7;116
2015-52;21-27 dicembre 2015;FLU B;0;116
2015-53;28 dicembre 2015-3 gennaio 2016;FLU A;11;123
2015-53;28 dicembre 2015-3 gennaio 2016;A;1;123
2015-53;28 dicembre 2015-3 gennaio 2016;A(H3N2);6;123
2015-53;28 dicembre 2015-3 gennaio 2016;A(H1N1) pdm09 ;4;123
2015-53;28 dicembre 2015-3 gennaio 2016;FLU B;0;123
2016-01;4-10 gennaio 2016;FLU A;11;210
2016-01;4-10 gennaio 2016;A;2;210
2016-01;4-10 gennaio 2016;A(H3N2);6;210
2016-01;4-10 gennaio 2016;A(H1N1) pdm09 ;3;210
2016-01;4-10 gennaio 2016;FLU B;3;210
2016-02;11-17 gennaio 2016;FLU A;27;255
2016-02;11-17 gennaio 2016;A;5;255
2016-02;11-17 gennaio 2016;A(H3N2);7;255
2016-02;11-17 gennaio 2016;A(H1N1) pdm09 ;15;255
2016-02;11-17 gennaio 2016;FLU B;19;255
2016-03;18-24 gennaio 2016;FLU A;30;307
2016-03;18-24 gennaio 2016;A;1;307
2016-03;18-24 gennaio 2016;A(H3N2);13;307
2016-03;18-24 gennaio 2016;A(H1N1) pdm09 ;16;307
2016-03;18-24 gennaio 2016;FLU B;34;307
2016-04;25-31 gennaio 2016;FLU A;78;463
2016-04;25-31 gennaio 2016;A;9;463
2016-04;25-31 gennaio 2016;A(H3N2);40;463
2016-04;25-31 gennaio 2016;A(H1N1) pdm09 ;29;463
2016-04;25-31 gennaio 2016;FLU B;102;463
2016-05;1-7 febbraio 2016;FLU A;95;530
2016-05;1-7 febbraio 2016;A;7;530
2016-05;1-7 febbraio 2016;A(H3N2);49;530
2016-05;1-7 febbraio 2016;A(H1N1) pdm09 ;39;530
2016-05;1-7 febbraio 2016;FLU B;133;530
2016-06;8-14 febbraio 2016;FLU A;119;638
2016-06;8-14 febbraio 2016;A;5;638
2016-06;8-14 febbraio 2016;A(H3N2);74;638
2016-06;8-14 febbraio 2016;A(H1N1) pdm09 ;40;638
2016-06;8-14 febbraio 2016;FLU B;137;638
2016-07;15-21 febbraio 2016;FLU A;107;577
2016-07;15-21 febbraio 2016;A;5;577
2016-07;15-21 febbraio 2016;A(H3N2);73;577
2016-07;15-21 febbraio 2016;A(H1N1) pdm09 ;29;577
2016-07;15-21 febbraio 2016;FLU B;154;577
2016-08;22-28 febbraio 2016;FLU A;123;629
2016-08;22-28 febbraio 2016;A;6;629
2016-08;22-28 febbraio 2016;A(H3N2);81;629
2016-08;22-28 febbraio 2016;A(H1N1) pdm09 ;36;629
2016-08;22-28 febbraio 2016;FLU B;197;629
2016-09;29 febbraio-6 marzo 2016;FLU A;105;544
2016-09;29 febbraio-6 marzo 2016;A;11;544
2016-09;29 febbraio-6 marzo 2016;A(H3N2);54;544
2016-09;29 febbraio-6 marzo 2016;A(H1N1) pdm09 ;40;544
2016-09;29 febbraio-6 marzo 2016;FLU B;152;544
2016-10;7-13 marzo 2016;FLU A;82;519
2016-10;7-13 marzo 2016;A;6;519
2016-10;7-13 marzo 2016;A(H3N2);59;519
2016-10;7-13 marzo 2016;A(H1N1) pdm09 ;17;519
2016-10;7-13 marzo 2016;FLU B;110;519
2016-11;14-20 marzo 2016;FLU A;77;396
2016-11;14-20 marzo 2016;A;4;396
2016-11;14-20 marzo 2016;A(H3N2);47;396
2016-11;14-20 marzo 2016;A(H1N1) pdm09 ;26;396
2016-11;14-20 marzo 2016;FLU B;116;396
2016-12;21-27 marzo 2016;FLU A;51;315
