Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2019-42;14-20 ottobre 2019;1.163;1.582;1.479.582;1,07;<2,96 ;83.609;241;2,88;200.566;189;0,94;854.548;923;1,08;340.859;229;0,67
2019-43;21-27 ottobre 2019;1.162;1.722;1.478.502;1,16;<2,96 ;84.750;249;2,94;202.567;205;1,01;851.845;1.001;1,18;339.340;267;0,79
2019-44;28 ottobre-3 novembre 2019;1.174;1.721;1.496.093;1,15;<2,96 ;84.304;201;2,38;201.976;156;0,77;864.428;1.080;1,25;345.385;284;0,82
2019-45;4-10 novembre 2019;1.174;2.613;1.495.138;1,75;<2,96 ;85.494;289;3,38;204.093;296;1,45;861.900;1.635;1,90;343.651;393;1,14
2019-46;11-17 novembre 2019;1.177;3.227;1.499.752;2,15;<2,96 ;85.427;359;4,20;204.196;409;2,00;865.038;2.019;2,33;345.091;440;1,28
2019-47;18-24 novembre 2019;1.179;3.572;1.502.521;2,38;<2,96 ;85.887;407;4,74;204.899;467;2,28;866.152;2.168;2,50;345.583;530;1,53
2019-48;25 novembre-1 dicembre 2019;1.179;3.596;1.503.993;2,39;<2,96 ;85.879;434;5,05;204.857;485;2,37;867.449;2.210;2,55;345.808;467;1,35
2019-49;2-8 dicembre 2019;1.176;4.509;1.498.767;3,01;<8,93 ;85.875;593;6,91;203.376;635;3,12;864.507;2.764;3,20;345.009;517;1,50
2019-50;9-15 dicembre 2019;1.174;5.225;1.496.650;3,49;<8,93 ;85.875;726;8,45;203.243;814;4,01;862.908;3.083;3,57;344.624;602;1,75
2019-51;16-22 dicembre 2019;1.166;6.249;1.486.710;4,20;<8,93 ;84.984;950;11,18;200.861;1.229;6,12;858.311;3.404;3,97;342.554;666;1,94
2019-52;23-29 dicembre 2019;1.149;5.760;1.469.174;3,92;<8,93 ;80.743;817;10,12;192.531;940;4,88;854.993;3.289;3,85;340.907;714;2,09
2020-01;30 dicembre 2019-5 gennaio 2020;1.154;7.273;1.474.136;4,93;<8,93 ;81.790;867;10,60;196.230;1.031;5,25;854.972;4.429;5,18;341.144;946;2,77
2020-02;6-12 gennaio 2020;1.156;9.723;1.475.168;6,59;<8,93 ;84.380;1.003;11,89;199.181;1.497;7,52;851.339;6.024;7,08;340.268;1.199;3,52
2020-03;13-19 gennaio 2020;1.154;12.480;1.474.410;8,46;<8,93 ;83.873;1.827;21,78;197.914;2.521;12,74;851.494;6.889;8,09;341.129;1.243;3,64
2020-04;20-26 gennaio 2020;1.146;15.626;1.465.621;10,66;<13,88 ;82.385;2.541;30,84;194.751;4.109;21,10;848.165;7.752;9,14;340.320;1.224;3,60
2020-05;27 gennaio-2 febbraio 2020;1.134;18.320;1.452.048;12,62;<13,88 ;81.938;3.141;38,33;193.647;5.372;27,74;839.320;8.418;10,03;337.143;1.389;4,12
2020-06;3-9 febbraio 2020;1.121;17.374;1.435.252;12,11;<13,88 ;81.014;2.969;36,65;192.303;5.289;27,50;829.621;7.806;9,41;332.314;1.310;3,94
2020-07;10-16 febbraio 2020;1.108;15.241;1.421.338;10,72;<13,88 ;80.352;2.749;34,21;191.894;4.345;22,64;820.159;7.037;8,58;328.933;1.110;3,37
2020-08;17-23 febbraio 2020;1.053;12.365;1.351.753;9,15;<13,88 ;77.349;2.218;28,68;183.891;3.512;19,10;778.436;5.661;7,27;312.077;974;3,12
2020-09;24 febbraio-1 marzo 2020;1.000;9.213;1.280.869;7,19;<8,93 ;73.312;1.417;19,33;173.829;2.296;13,21;738.251;4.753;6,44;295.477;747;2,53
2020-10;2-8 marzo 2020;945;6.479;1.210.061;5,35;<8,93 ;68.657;783;11,40;163.944;1.097;6,69;697.608;3.975;5,70;279.852;624;2,23
2020-11;9-15 marzo 2020;888;4.615;1.138.181;4,05;<8,93 ;64.929;353;5,44;154.938;460;2,97;655.709;3.243;4,95;262.605;559;2,13
2020-12;16-22 marzo 2020;839;3.013;1.080.360;2,79;<2,96 ;60.867;173;2,84;146.732;209;1,42;623.072;2.202;3,53;249.689;429;1,72
2020-13;23-29 marzo 2020;780;1.715;1.003.446;1,71;<2,96 ;54.360;85;1,56;131.438;106;0,81;584.142;1.266;2,17;233.506;258;1,10
2020-14;30 marzo-5 aprile 2020;752;1.079;967.360;1,12;<2,96 ;52.680;43;0,82;127.046;72;0,57;562.417;792;1,41;225.217;172;0,76
2020-15;6-12 aprile 2020;707;665;906.719;0,73;<2,96 ;50.709;35;0,69;121.519;40;0,33;525.114;476;0,91;209.377;114;0,54
2020-16;13-19 aprile 2020;664;482;856.867;0,56;<2,96 ;46.003;20;0,43;109.232;20;0,18;501.763;361;0,72;199.869;81;0,41
2020-17;20-26 aprile 2020;588;314;754.442;0,42;<2,96 ;40.928;26;0,64;95.761;22;0,23;442.331;200;0,45;175.422;66;0,38
