Regione;Macroarea;Casi   notificati al  26/01/2022;%  casi  nella macroarea;"Ampiezza campionaria
(p=5%, __=2%)"
Abruzzo;Sud;3551;9,5%;43
Basilicata;Sud;1000;2,7%;13
Calabria;Sud;1569;4,2%;19
Campania;Sud;12854;34,2%;155
Emilia-Romagna;Nord-Est;19028;39,9%;181
Friuli Venezia Giulia;Nord-Est;4104;8,6%;39
Lazio;Centro;14987;44,2%;200
Liguria;Nord-Ovest;5708;11,9%;54
Lombardia;Nord-Ovest;27808;57,8%;262
Marche;Centro;6196;18,3%;83
Molise;Sud;457;1,2%;6
P.A. Bolzano;Nord-Est;2573;5,4%;25
P.A. Trento;Nord-Est;2138;4,5%;21
Piemonte;Nord-Ovest;14207;29,5%;134
Puglia;Sud;8759;23,3%;106
Sardegna;Isole;1461;3,9%;18
Sicilia;Isole;7917;21,1%;96
Toscana;Centro;10535;31,1%;141
Umbria;Centro;2156;6,4%;29
Valle d'Aosta;Nord-Ovest;378;0,8%;4
Veneto;Nord-Est;19820;41,6%;188
TOTALE;;167206;;1817
