Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vaccinati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;dic-39;43,7 [42,9-44,4];67,4 [66,8-67,9]
;40-59;68,6 [68,1-69,1];77,1 [76,8-77,5]
;60-79;78,1 [77,7-78,5];85,7 [85,4-85,9]
;80+;59,5 [58,2-60,8];88,9 [88,6-89,2]
;Totale;63,7 [63,4-64,0];79,7 [79,5-79,9]
;;;
Ospedalizzazioni;dic-39;81,3 [78,4-83,8];87,7 [85,2-89,8]
;40-59;89,9 [88,8-90,8];94,3 [93,6-94,9]
;60-79;87,8 [87,1-88,4];95,0 [94,6-95,3]
;80+;71,9 [70,1-73,5];94,5 [94,2-94,8]
;Totale;84,1 [83,5-84,6];94,4 [94,2-94,7]
;;;
Ricoveri in Terapia Intensiva;dic-39;-;-
;40-59;93,2 [90,1-95,4];96,5 [94,4-97,8]
;60-79;91,7 [90,3-92,9];97,1 [96,3-97,7]
;80+;77,1 [69,0-83,0];94,6 [92,9-95,9]
;Totale;90,7 [89,5-91,8];96,5 [95,9-97,0]
;;;
Decessi ;dic-39;-;-
;40-59;88,1 [81,5-92,4];95,4 [90,8-97,7]
;60-79;90,5 [89,2-91,6];97,4 [96,6-98,0]
;80+;77,7 [75,6-79,7];97,1 [96,7-97,4]
;Totale;84,0 [82,7-85,1];97,0 [96,7-97,3]
