Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (7/08/2021);dic-39;8.855.576;3.910.551;4.669.428;17.435.555;50,79%;22,43%;26,78%
;40-59;5.530.037;2.366.086;10.551.337;18.447.460;29,98%;12,83%;57,20%
;60-79;2.012.350;1.281.222;10.279.207;13.572.779;14,83%;9,44%;75,73%
;80+;310.867;114.534;4.128.706;4.554.107;6,83%;2,51%;90,66%
;;;;;;;;
Diagnosi di Sars-CoV-2 (23/07/2021 - 22/08/2021);dic-39;70.440;14.014;9.428;93.882;75,03%;14,93%;10,04%
;40-59;25.710;5.486;12.300;43.496;59,11%;12,61%;28,28%
;60-79;6.934;2.052;8.454;17.440;39,76%;11,77%;48,47%
;80+;1.321;151;3.712;5.184;25,48%;2,91%;71,60%
;;;;;;;;
Ospedalizzazioni (16/07/2021 - 15/08/2021);dic-39;1.578;120;74;1.772;89,05%;6,77%;4,18%
;40-59;1.906;138;166;2.210;86,24%;6,24%;7,51%
;60-79;1.257;204;461;1.922;65,40%;10,61%;23,99%
;80+;421;47;648;1.116;37,72%;4,21%;58,06%
;;;;;;;;
Ricoveri in Terapia Intensiva  (16/07/2021 - 15/08/2021);dic-39;57;4;1;62;91,94%;6,45%;1,61%
;40-59;189;9;13;211;89,57%;4,27%;6,16%
;60-79;224;15;49;288;77,78%;5,21%;17,01%
;80+;30;2;32;64;46,88%;3,13%;50,00%
;;;;;;;;
Decessi (02/07/2021 - 01/08/2021);dic-39;3;0;0;3;100,00%;0,00%;0,00%
;40-59;32;5;3;40;80,00%;12,50%;7,50%
;60-79;110;13;18;141;78,01%;9,22%;12,77%
;80+;101;9;71;181;55,80%;4,97%;39,23%
