REGIONE/PA;NUMERO DI CASI TOTALE;"INCIDENZA CUMULATIVA
(PER 100.000 AB)";"N. CASI TRA IL
16 - 22/8/2021";INCIDENZA 7GG (PER 100.000 AB);"N. CASI TRA IL
9 - 22/8/2021";INCIDENZA 14GG (PER 100.000 AB)
Abruzzo;77.794;6052,8;650;50,57;1.257;97,8
Basilicata;27.818;5080,18;353;64,47;682;124,55
Calabria;73.923;3936,83;1.097;58,42;2.317;123,39
Campania;439.492;7737,86;3.377;59,46;6.670;117,43
Emilia-Romagna;404.073;9089,38;3.800;85,48;8.086;181,89
Friuli Venezia Giulia;106.478;8882,4;492;41,04;998;83,25
Lazio;376.064;6573,63;3.202;55,97;7.084;123,83
Liguria;107.776;7138,41;1.053;69,74;1.985;131,47
Lombardia;862.036;8648,91;3.865;38,78;8.187;82,14
Marche;107.976;7191,66;1.083;72,13;2.234;148,79
Molise;14.099;4754,39;69;23,27;131;44,18
Piemonte;371.153;8685,58;1.533;35,87;2.883;67,47
PA Bolzano;65.821;12332,6;284;53,21;451;84,5
PA Trento;48.020;8815,13;278;51,03;474;87,01
Puglia;260.322;6629,15;1.653;42,09;3.372;85,87
Sardegna;66.830;4181,51;1.875;117,32;4.053;253,59
Sicilia;260.125;5373,51;7.116;147;13.009;268,73
Toscana;262.747;7162,57;4.696;128,01;9.262;252,49
Umbria;60.926;7043,36;840;97,11;1.674;193,52
Valle d’Aosta;11.893;9599,26;65;52,46;144;116,23
Veneto;447.693;9226,12;3.679;75,82;7.963;164,1
ITALIA;4.453.059;7514,75;41.060;69,29;82.916;139,92
