Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.227;4.163;1.601.483;2,60;849;9,35;592;2,78;2238;2,42;484;1,29
2021-43;1.237;4.873;1.615.277;3,02;1149;12,65;673;3,15;2538;2,72;513;1,36
2021-44;1.239;5.417;1.617.992;3,35;1250;13,91;789;3,72;2770;2,96;608;1,60
2021-45;1.238;6.419;1.618.081;3,97;1563;17,48;1011;4,80;3116;3,32;729;1,92
2021-46;1.196;6.947;1.569.250;4,43;1700;19,88;1085;5,35;3393;3,72;769;2,09
2021-47;1.171;7.276;1.535.793;4,74;1586;19,11;1157;5,86;3644;4,08;889;2,46
2021-48;1.061;6.371;1.392.249;4,58;1293;17,24;1006;5,63;3316;4,08;756;2,32
2021-49;790;4.295;1.045.193;4,11;805;14,53;638;4,79;2293;3,75;559;2,28
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
