Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;90.803;213.135;923.617;373.928;1.601.483
2021-43;90.811;213.376;933.281;377.809;1.615.277
2021-44;89.880;211.832;937.283;378.997;1.617.992
2021-45;89.409;210.440;938.706;379.526;1.618.081
2021-46;85.503;202.765;913.210;367.772;1.569.250
2021-47;82.987;197.397;894.231;361.178;1.535.793
2021-48;75.015;178.844;811.870;326.520;1.392.249
2021-49;55.409;133.100;611.595;245.089;1.045.193
2021-50;;;;;
2021-51;;;;;
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
