Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;45;353;63.691;5,54;58;15,47;46;5,81;204;5,69;45;2,78
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;138;937;191.103;4,90;139;12,97;93;3,54;591;5,32;114;2,65
P.A. di Bolzano;6;13;8.842;1,47;6;8,90;3;1,83;3;0,62;1;0,58
P. A. di Trento;3;7;4.234;1,65;2;6,04;2;2,31;3;1,43;-;-
Veneto;34;93;48.068;1,93;7;3,04;10;1,63;65;2,33;11;0,94
Friuli V.G.;7;81;9.215;8,79;5;5,51;4;1,61;44;11,04;28;15,26
Liguria;16;78;20.877;3,74;20;23,98;9;4,05;40;3,41;9;1,48
Emilia Romagna;37;286;46.089;6,21;74;28,87;67;11,74;128;4,86;17;1,48
Toscana;25;147;43.373;3,39;40;19,02;31;5,65;61;2,72;15;1,12
Umbria;10;50;11.258;4,44;18;17,56;16;6,84;14;2,30;2;1,10
Marche;16;58;18.421;3,15;6;4,84;17;4,49;32;3,35;3;0,78
Lazio;180;925;236.275;3,91;168;18,35;115;4,80;537;3,65;105;1,88
Abruzzo;35;194;44.597;4,35;44;21,99;34;6,64;90;3,31;26;2,53
Molise;-;-;-;-;-;-;-;-;-;-;-;-
Campania;31;75;38.569;1,94;28;5,50;18;1,89;22;1,21;7;1,21
Puglia;80;397;104.302;3,81;96;18,79;70;5,97;185;2,94;46;1,88
Basilicata;12;20;15.639;1,28;8;3,54;12;3,51;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;102;530;123.893;4,28;62;14,96;75;6,16;263;3,40;130;4,29
Sardegna;11;49;13.662;3,59;24;20,05;15;6,75;10;1,32;-;-
