REGIONE/PA;"N.
Laboratori";N. campioni positivi in RT-PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;N. OMICRON BA.1;N. OMICRON BA.2;N. OMICRON BA.3;N. OMICRON XJ;N. OMICRON XL;Totale;% OMICRON BA.1;% OMICRON BA.2;% OMICRON BA.3;% OMICRON XJ;% OMICRON XL;Totale
ABRUZZO;2;762;56;56;10;46;0;0;0;56;17,9;82,1;0;0;0;100
BASILICATA;2;448;12;12;1;11;0;0;0;12;8,3;91,7;0;0;0;100
CALABRIA;4;1997;36;33;6;25;0;0;2;33;18,2;75,8;0;0;6,1;100
CAMPANIA;3;1352;144;140;22;118;0;0;0;140;15,7;84,3;0;0;0;100
EMILIA ROMAGNA;3;157;157;157;10;147;0;0;0;157;6,4;93,6;0;0;0;100
FRIULI VENEZIA GIULIA;6;158;65;64;6;58;0;0;0;64;9,4;90,6;0;0;0;100
LAZIO;2;216;216;209;19;190;0;0;0;209;9,1;90,9;0;0;0;100
LIGURIA;9;523;49;49;2;47;0;0;0;49;4,1;95,9;0;0;0;100
LOMBARDIA;17;384;384;382;37;345;0;0;0;382;9,7;90,3;0;0;0;100
MARCHE;5;61;61;61;11;50;0;0;0;61;18;82;0;0;0;100
MOLISE;1;33;31;29;10;19;0;0;0;29;34,5;65,5;0;0;0;100
PA BOLZANO;1;30;21;21;0;21;0;0;0;21;0;100;0;0;0;100
PA TRENTO;1;14;14;14;2;12;0;0;0;14;14,3;85,7;0;0;0;100
PIEMONTE;12;98;98;86;9;74;1;2;0;86;10,5;86;1,2;2,3;0;100
PUGLIA;11;123;123;122;14;108;0;0;0;122;11,5;88,5;0;0;0;100
SARDEGNA;10;1117;43;43;9;20;0;5;9;43;20,9;46,5;0;11,6;20,9;100
SICILIA;6;102;102;102;17;84;1;0;0;102;16,7;82,4;1;0;0;100
TOSCANA;3;201;102;102;9;93;0;0;0;102;8,8;91,2;0;0;0;100
UMBRIA;4;316;48;48;5;43;0;0;0;48;10,4;89,6;0;0;0;100
VALLE D'AOSTA;1;2;2;2;0;2;0;0;0;2;0;100;0;0;0;100
VENETO;13;254;254;254;26;228;0;0;0;254;10,2;89,8;0;0;0;100
ITALIA;116;8348;2018;1986;225;1741;2;7;11;1986;11,8;86,6;0,2;0,5;0,9;100
