Regione;Macroarea;Casi notificati il 31/03/2022;% casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;2330;9%;40
Basilicata;Sud;674;3%;12
Calabria;Sud;1933;7%;33
Campania;Sud;8393;32%;143
Emilia-Romagna;Nord-Est;4620;32%;143
Friuli Venezia Giulia;Nord-Est;1004;7%;31
Lazio;Centro;9256;50%;225
Liguria;Nord-Ovest;1524;11%;49
Lombardia;Nord-Ovest;9141;65%;289
Marche;Centro;2349;13%;57
Molise;Sud;420;2%;8
P.A. Bolzano;Nord-Est;617;4%;19
P.A. Trento;Nord-Est;444;3%;14
Piemonte;Nord-Ovest;3255;23%;103
Puglia;Sud;7129;27%;122
Sardegna;Isole;1594;6%;28
Sicilia;Isole;3909;15%;67
Toscana;Centro;5305;29%;129
Umbria;Centro;1517;8%;37
Valle d'Aosta;Nord-Ovest;61;0%;2
Veneto;Nord-Est;7720;54%;238
TOTALE;;73195;;1789
