Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;78.175;184.987;824.745;333.202;1.421.109
2021-43;77.149;183.491;819.883;332.301;1.412.824
2021-44;74.835;177.170;783.565;317.220;1.352.790
2021-45;60.647;143.337;642.618;260.132;1.106.734
2021-46;;;;;
2021-47;;;;;
2021-48;;;;;
2021-49;;;;;
2021-50;;;;;
2021-51;;;;;
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
