Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.096;3.938;1.421.109;2,77;786;10,05;540;2,92;2.155;2,61;457;1,37
2021-43;1089;4.587;1.412.824;3,25;1060;13,74;609;3,32;2.425;2,96;493;1,48
2021-44;1042;4.763;1.352.790;3,52;1071;14,31;658;3,71;2.477;3,16;557;1,76
2021-45;853;4.599;1.106.734;4,16;1084;17,87;641;4,47;2.335;3,63;539;2,07
2021-46;;;;;;;;;;;;
2021-47;;;;;;;;;;;;
2021-48;;;;;;;;;;;;
2021-49;;;;;;;;;;;;
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
