REGIONE/PA;"N.
Laboratori";N. campioni positivi in RT-PCR;N. campioni sequenziati;"N. di sequenze ottenute
per analisi";Numero;;;;;Prevalenza***;;;;
;;;;;BETA;GAMMA;DELTA^;OMICRON;Altre varianti;BETA;GAMMA;DELTA;OMICRON;Altre varianti
ABRUZZO;2;89;55;55;0;0;55;0;0;0;0;100;0;0
BASILICATA;2;7;7;7;0;0;7;0;0;0;0;100;0;0
CALABRIA;4;224;45;39;0;0;39;0;0;0;0;100;0;0
CAMPANIA;3;150;150;140;0;0;140;0;0;0;0;100;0;0
EMILIA ROMAGNA;3;106;106;106;0;0;105;1;0;0;0;99,1;0,9;0
FRIULI VENEZIA GIULIA;6;377;150;146;0;0;146;0;0;0;0;100;0;0
LAZIO;5;515;511;435;0;0;434;0;1;0;0;99,8;0;0,2
LIGURIA;9;247;57;53;0;0;53;0;0;0;0;100;0;0
LOMBARDIA;16;346;332;324;0;0;323;1;0;0;0;99,7;0,3;0
MARCHE;5;62;62;62;0;0;62;0;0;0;0;100;0;0
MOLISE;1;1;1;1;0;0;1;0;0;0;0;100;0;0
PA BOLZANO;1;61;58;58;0;0;58;0;0;0;0;100;0;0
PA TRENTO;1;15;15;14;0;0;14;0;0;0;0;100;0;0
PIEMONTE;11;96;96;93;0;0;93;0;0;0;0;100;0;0
PUGLIA;11;53;53;53;0;0;53;0;0;0;0;100;0;0
SARDEGNA;10;223;30;30;0;0;30;0;0;0;0;100;0;0
SICILIA;4;209;159;159;0;0;159;0;0;0;0;100;0;0
TOSCANA;3;155;73;71;0;0;71*;0;0;0;0;100;0;0
UMBRIA;4;164;44;44;0;0;44;0;0;0;0;100;0;0
VALLE D'AOSTA;1;3;3;3;0;0;2;0;1;0;0;66,7;0;33,3
VENETO;12;234;234;234;0;0;232;2**;0;0;0;99,1;0,9;0
ITALIA;114;3337;2241;2127;0;0;2121;4;2;0;0;99,53;0,32;0,15
;;;;;;;;;;;;;;
^ La variante Delta include il lignaggio B.1.617.2 e tutti i sottolignaggi AY.n come da documento ECDC SARS-CoV-2 variants of concern as of 14 December 2021. https://www.ecdc.europa.eu/en/covid-19/variants- concern.;;;;;;;;;;;;;;
*La Regione Toscana comunica ulteriori 11 sequenze attribuibili alla variante delta identificate mediante metodiche di screening molecolari.;;;;;;;;;;;;;;
**La Regione Veneto comunica che i due casi di variante Omicron sono da soggetti di rientro da viaggi all'estero. ;;;;;;;;;;;;;;
*** Stime di prevalenza a livello nazionale ottenute come la media delle prevalenze nelle diverse Regioni/PA pesate per il numero di casi regionali notificati il 6 dicembre 2021 ;;;;;;;;;;;;;;
