Regione/PA;Macroarea;Casi notificati al 01/12/2021;% casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;243;8,3%;33
Basilicata;Sud;46;1,6%;7
Calabria;Sud;286;9,8%;39
Campania;Sud;1087;37,1%;147
Emilia-Romagna;Nord-Est;1117;20,7%;88
Friuli Venezia Giulia;Nord-Est;746;13,9%;59
Lazio;Centro;1638;58,8%;231
Liguria;Nord-Ovest;549;13,8%;57
Lombardia;Nord-Ovest;2503;62,8%;258
Marche;Centro;475;17,0%;67
Molise;Sud;27;0,9%;4
P.A. Bolzano;Nord-Est;677;12,6%;53
P.A. Trento;Nord-Est;188;3,5%;15
Piemonte;Nord-Ovest;902;22,6%;93
Puglia;Sud;367;12,5%;50
Sardegna;Isole;145;4,9%;20
Sicilia;Isole;729;24,9%;99
Toscana;Centro;559;20,1%;79
Umbria;Centro;116;4,2%;17
Valle d'Aosta;Nord-Ovest;29;0,7%;3
Veneto;Nord-Est;2656;49,3%;208
TOTALE;;15085;;1627
