Settimana n.;Settimana;Virus;N.;N. campioni
2013-46;11-17 novembre 2013;FLU A;0;133
2013-46;11-17 novembre 2013;A;;133
2013-46;11-17 novembre 2013;A(H3N2) ;;133
2013-46;11-17 novembre 2013;A(H1N1) pdm09 ;;133
2013-46;11-17 novembre 2013;FLU B;0;133
2013-47;18-24 novembre 2013;FLU A;0;64
2013-47;18-24 novembre 2013;A;;64
2013-47;18-24 novembre 2013;A(H3N2);;64
2013-47;18-24 novembre 2013;A(H1N1) pdm09 ;;64
2013-47;18-24 novembre 2013;FLU B;0;64
2013-48;25 novembre-1 dicembre 2013;FLU A;2;24
2013-48;25 novembre-1 dicembre 2013;A;;24
2013-48;25 novembre-1 dicembre 2013;A(H3N2);2;24
2013-48;25 novembre-1 dicembre 2013;A(H1N1) pdm09 ;;24
2013-48;25 novembre-1 dicembre 2013;FLU B;0;24
2013-49;2-8 dicembre 2013;FLU A;6;65
2013-49;2-8 dicembre 2013;A;;65
2013-49;2-8 dicembre 2013;A(H3N2);6;65
2013-49;2-8 dicembre 2013;A(H1N1) pdm09 ;;65
2013-49;2-8 dicembre 2013;FLU B;0;65
2013-50;9-15 dicembre 2013;FLU A;9;65
2013-50;9-15 dicembre 2013;A;;65
2013-50;9-15 dicembre 2013;A(H3N2);9;65
2013-50;9-15 dicembre 2013;A(H1N1) pdm09 ;;65
2013-50;9-15 dicembre 2013;FLU B;0;65
2013-51;16-22 dicembre 2013;FLU A;10;87
2013-51;16-22 dicembre 2013;A;;87
2013-51;16-22 dicembre 2013;A(H3N2);8;87
2013-51;16-22 dicembre 2013;A(H1N1) pdm09 ;2;87
2013-51;16-22 dicembre 2013;FLU B;0;87
2013-52;23-29 dicembre 2013;FLU A;10;51
2013-52;23-29 dicembre 2013;A;;51
2013-52;23-29 dicembre 2013;A(H3N2);10;51
2013-52;23-29 dicembre 2013;A(H1N1) pdm09 ;;51
2013-52;23-29 dicembre 2013;FLU B;1;51
2014-01;30 dicembre 2013-5 gennaio 2014;FLU A;20;80
2014-01;30 dicembre 2013-5 gennaio 2014;A;1;80
2014-01;30 dicembre 2013-5 gennaio 2014;A(H3N2);16;80
2014-01;30 dicembre 2013-5 gennaio 2014;A(H1N1) pdm09 ;3;80
2014-01;30 dicembre 2013-5 gennaio 2014;FLU B;0;80
2014-02;6-12 gennaio 2014;FLU A;34;169
2014-02;6-12 gennaio 2014;A;1;169
2014-02;6-12 gennaio 2014;A(H3N2);21;169
2014-02;6-12 gennaio 2014;A(H1N1) pdm09 ;12;169
2014-02;6-12 gennaio 2014;FLU B;1;169
2014-03;13-19 gennaio 2014;FLU A;63;
2014-03;13-19 gennaio 2014;A;6;
2014-03;13-19 gennaio 2014;A(H3N2);42;
2014-03;13-19 gennaio 2014;A(H1N1) pdm09 ;15;
2014-03;13-19 gennaio 2014;FLU B;3;
2014-04;20-26 gennaio 2014;FLU A;68;211
2014-04;20-26 gennaio 2014;A;3;211
2014-04;20-26 gennaio 2014;A(H3N2);41;211
2014-04;20-26 gennaio 2014;A(H1N1) pdm09 ;24;211
2014-04;20-26 gennaio 2014;FLU B;3;211
2014-05;27 gennaio-2 febbraio 2014;FLU A;95;227
2014-05;27 gennaio-2 febbraio 2014;A;5;227
2014-05;27 gennaio-2 febbraio 2014;A(H3N2);62;227
2014-05;27 gennaio-2 febbraio 2014;A(H1N1) pdm09 ;28;227
2014-05;27 gennaio-2 febbraio 2014;FLU B;1;227
2014-06;3-9 febbraio 2014;FLU A;143;296
2014-06;3-9 febbraio 2014;A;11;296
2014-06;3-9 febbraio 2014;A(H3N2);81;296
2014-06;3-9 febbraio 2014;A(H1N1) pdm09 ;51;296
2014-06;3-9 febbraio 2014;FLU B;6;296
2014-07;10-16 febbraio 2014;FLU A;103;241
2014-07;10-16 febbraio 2014;A;3;241
2014-07;10-16 febbraio 2014;A(H3N2);54;241
2014-07;10-16 febbraio 2014;A(H1N1) pdm09 ;46;241
2014-07;10-16 febbraio 2014;FLU B;4;241
2014-08;17-23 febbraio 2014;FLU A;117;310
2014-08;17-23 febbraio 2014;A;7;310
2014-08;17-23 febbraio 2014;A(H3N2);67;310
2014-08;17-23 febbraio 2014;A(H1N1) pdm09 ;43;310
2014-08;17-23 febbraio 2014;FLU B;3;310
2014-09;24 febbraio-2 marzo 2014;FLU A;107;200
2014-09;24 febbraio-2 marzo 2014;A;13;200
2014-09;24 febbraio-2 marzo 2014;A(H3N2);52;200
2014-09;24 febbraio-2 marzo 2014;A(H1N1) pdm09 ;42;200
2014-09;24 febbraio-2 marzo 2014;FLU B;4;200
2014-10;3-9 marzo 2014;FLU A;74;246
2014-10;3-9 marzo 2014;A;5;246
2014-10;3-9 marzo 2014;A(H3N2);45;246
2014-10;3-9 marzo 2014;A(H1N1) pdm09 ;24;246
2014-10;3-9 marzo 2014;FLU B;6;246
2014-11;10-16 marzo 2014;FLU A;56;179
2014-11;10-16 marzo 2014;A;4;179
2014-11;10-16 marzo 2014;A(H3N2);26;179
2014-11;10-16 marzo 2014;A(H1N1) pdm09 ;26;179
2014-11;10-16 marzo 2014;FLU B;2;179
2014-12;17-23 marzo 2014;FLU A;32;132
2014-12;17-23 marzo 2014;A;3;132
2014-12;17-23 marzo 2014;A(H3N2);18;132
2014-12;17-23 marzo 2014;A(H1N1) pdm09 ;11;132
2014-12;17-23 marzo 2014;FLU B;0;132
2014-13;24-30 marzo 2014;FLU A;28;130
2014-13;24-30 marzo 2014;A;3;130
2014-13;24-30 marzo 2014;A(H3N2);13;130
2014-13;24-30 marzo 2014;A(H1N1) pdm09 ;12;130
2014-13;24-30 marzo 2014;FLU B;0;130
2014-14;31 marzo-6 aprile 2014;FLU A;14;81
2014-14;31 marzo-6 aprile 2014;A;3;81
2014-14;31 marzo-6 aprile 2014;A(H3N2);6;81
2014-14;31 marzo-6 aprile 2014;A(H1N1) pdm09 ;5;81
2014-14;31 marzo-6 aprile 2014;FLU B;0;81
2014-15;7-13 aprile 2014;FLU A;3;77
2014-15;7-13 aprile 2014;A;0;77
2014-15;7-13 aprile 2014;A(H3N2);1;77
2014-15;7-13 aprile 2014;A(H1N1) pdm09 ;2;77
2014-15;7-13 aprile 2014;FLU B;0;77
2014-16;14-20 aprile 2014;FLU A;5;52
2014-16;14-20 aprile 2014;A;1;52
2014-16;14-20 aprile 2014;A(H3N2);2;52
2014-16;14-20 aprile 2014;A(H1N1) pdm09 ;2;52
2014-16;14-20 aprile 2014;FLU B;0;52
2014-17;21-27 aprile 2014;FLU A;0;48
2014-17;21-27 aprile 2014;A;;48
2014-17;21-27 aprile 2014;A(H3N2);;48
2014-17;21-27 aprile 2014;A(H1N1) pdm09 ;;48
2014-17;21-27 aprile 2014;FLU B;0;48
