Regione;N. Laboratori;N. campioni positivi in RT-PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;B.1.1.7;B.1.351;P.1;B.1.617.2;B.1.525;P.2;Altre varianti;B1.1.7;B.1.351;P.1;B.1.617.2;B.1.525;P.2
Abruzzo;2;154;34;34;0;0;0;34;0;0;0;0;0;0;100;0;0
Basilicata;2;9;9;9;0;0;0;9;0;0;0;0;0;0;100;0;0
Calabria;2;234;34;30;0;0;0;30;0;0;0;0;0;0;100;0;0
Campania;3;531;93;92;0;0;0;92;0;0;0;0;0;0;100;0;0
Emilia-Romagna;3;151;151;151;0;0;0;151;0;0;0;0;0;0;100;0;0
Friuli-Venezia Giulia;9;201;24;23;0;0;0;23;0;0;0;0;0;0;100;0;0
Lazio;12;84;82;82;0;0;0;82;0;0;0;0;0;0;100;0;0
Liguria;8;188;63;63;0;0;0;63;0;0;0;0;0;0;100;0;0
Lombardia;15;230;229;225;0;0;0;22;0;0;1;0;0;0;99,6;0;0
Marche;6;51;48;48;1;1;0;46;0;0;0;2,1;2,1;0;95,8;0;0
Molise;1;21;3;3;0;0;0;3;0;0;0;0;0;0;100;0;0
P.A. Bolzano;1;47;10;10;0;0;0;10;0;0;0;0;0;0;100;0;0
P.A. Trento;1;9;9;9;0;0;0;9;0;0;0;0;0;0;100;0;0
Piemonte;12;109;109;108;0;0;0;108;0;0;0;0;0;0;100;0;0
Puglia;9;33;33;33;0;0;0;33;0;0;0;0;0;0;100;0;0
Sardegna;10;487;58;13;0;0;0;13;0;0;0;0;0;0;100;0;0
Sicilia;5;696;232;225;1;0;0;223;0;0;1;0,4;0;0;99,1;0;0
Toscana;3;297;182;182;0;0;0;182;0;0;0;0;0;0;100;0;0
Umbria;4;129;34;34;0;0;0;34;0;0;0;0;0;0;100;0;0
Valle d'Aosta;1;4;4;4;0;0;0;4;0;0;0;0;0;0;100;0;0
Veneto;13;160;160;160;0;0;0;160;0;0;0;0;0;0;100;0;0
ITALIA;122;3.825;1.601;1.538;2;1;0;1.533;0;0;2;0,2;0;0;99,7;0;0
