Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2005-42;17-23 ottobre 2005;835;276;1.070.858;0,26;67.212;40;0,6;138.193;44;0,32;658.030;160;0,24;207.423;32;0,15
2005-43;24-30 ottobre 2005;861;311;1.110.383;0,28;66.330;37;0,56;137.933;51;0,37;689.835;178;0,26;216.285;45;0,21
2005-44;31 ottobre-6 novembre 2005;904;361;1.166.611;0,31;69.358;51;0,74;145.478;49;0,34;723.565;211;0,29;228.210;50;0,22
2005-45;7-13 novembre 2005;907;431;1.170.176;0,37;69.165;65;0,94;144.888;61;0,42;725.643;264;0,36;230.480;41;0,18
2005-46;14-20 novembre 2005;908;567;1.169.337;0,48;70.064;88;1,26;146.415;102;0,7;722.665;312;0,43;230.193;65;0,28
2005-47;21-27 novembre 2005;932;786;1.205.935;0,65;70.672;115;1,63;148.324;117;0,79;749.131;469;0,63;237.808;85;0,36
2005-48;28 novembre-4 dicembre 2005;921;869;1.193.932;0,73;69.501;139;2;146.162;144;0,99;741.404;483;0,65;236.865;103;0,43
2005-49;5-11 dicembre 2005;943;884;1.219.439;0,72;72.046;154;2,14;151.584;170;1,12;755.761;482;0,64;240.048;78;0,32
2005-50;12-18 dicembre 2005;936;1.102;1.213.338;0,91;72.520;167;2,3;151.726;198;1,3;750.130;612;0,82;238.962;125;0,52
2005-51;19-25 dicembre 2005;921;1.229;1.198.878;1,03;68.011;215;3,16;147.544;231;1,57;745.192;664;0,89;238.131;119;0,5
2005-52;26 dicembre 2005-1 gennaio 2006;909;1.398;1.173.595;1,19;69.340;236;3,4;147.165;239;1,62;725.513;744;1,03;231.577;179;0,77
2006-01;2-8 gennaio 2006;922;1.529;1.195.086;1,28;69.327;205;2,96;146.255;267;1,83;742.299;856;1,15;237.205;201;0,85
2006-02;9-15 gennaio 2006;940;1.892;1.214.098;1,56;71.149;192;2,7;149.717;261;1,74;752.891;1.226;1,63;240.341;213;0,89
2006-03;16-22 gennaio 2006;943;2.230;1.218.285;1,83;71.856;302;4,2;151.320;388;2,56;754.275;1.285;1,7;240.834;255;1,06
2006-04;23-29 gennaio 2006;938;2.489;1.215.707;2,05;70.849;420;5,93;148.100;472;3,19;755.386;1.336;1,77;241.372;261;1,08
2006-05;30 gennaio-5 febbraio 2006;930;2.773;1.207.067;2,3;69.348;494;7,12;146.849;647;4,41;750.884;1.371;1,83;239.986;261;1,09
2006-06;6-12 febbraio 2006;938;2.970;1.212.493;2,45;71.060;552;7,77;148.682;651;4,38;751.861;1.489;1,98;240.890;278;1,15
2006-07;13-19 febbraio 2006;933;3.029;1.206.890;2,51;70.062;503;7,18;146.976;661;4,5;749.582;1.574;2,1;240.270;291;1,21
2006-08;20-26 febbraio 2006;924;3.091;1.196.278;2,58;69.993;562;8,03;147.074;791;5,38;741.953;1.460;1,97;237.258;278;1,17
2006-09;27 febbraio-5 marzo 2006;901;3.029;1.166.752;2,6;66.864;570;8,52;140.731;724;5,14;726.081;1.481;2,04;233.076;254;1,09
2006-10;6-12 marzo 2006;906;2.951;1.171.636;2,52;67.141;492;7,33;141.876;872;6,15;729.308;1.381;1,89;233.311;206;0,88
2006-11;13-19 marzo 2006;893;3.102;1.157.701;2,68;65.772;532;8,09;139.601;983;7,04;721.479;1.361;1,89;230.849;226;0,98
2006-12;20-26 marzo 2006;880;3.089;1.142.725;2,7;63.766;529;8,3;136.794;1.013;7,41;712.878;1.333;1,87;229.287;214;0,93
2006-13;27 marzo-2 aprile 2006;855;2.491;1.108.213;2,25;62.670;431;6,88;134.146;878;6,55;689.070;1.021;1,48;222.327;161;0,72
2006-14;3-9 aprile 2006;820;1.846;1.063.264;1,74;60.368;307;5,09;130.086;665;5,11;661.847;761;1,15;210.963;113;0,54
2006-15;10-16 aprile 2006;743;1.104;967.359;1,14;52.715;229;4,34;113.508;365;3,22;607.175;453;0,75;193.961;57;0,29
2006-16;17-23 aprile 2006;692;668;899.141;0,74;46.944;129;2,75;104.071;205;1,97;570.036;271;0,48;178.090;63;0,35
2006-17;24-30 aprile 2006;598;382;791.858;0,48;39.863;66;1,66;89.301;120;1,34;502.371;173;0,34;160.323;23;0,14
