Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2020-42;79.559;189.064;850.935;335.727;1.455.285
2020-43;80.109;190.737;854.856;337.242;1.462.944
2020-44;82.147;196.023;875.363;345.359;1.498.892
2020-45;84.951;201.530;909.994;358.322;1.554.797
2020-46;84.353;202.292;924.681;364.736;1.576.062
2020-47;84.618;203.025;928.896;366.510;1.583.049
2020-48;85.747;205.540;936.763;369.996;1.598.046
2020-49;85.811;206.105;943.060;372.715;1.607.691
2020-50;85.511;205.765;949.893;374.366;1.615.535
2020-51;85.309;205.001;948.258;373.644;1.612.212
2020-52;85.619;205.810;948.469;373.852;1.613.750
2020-53;85.860;206.713;944.968;372.663;1.610.204
2021-01;86.585;208.173;951.562;375.437;1.621.757
2021-02;85.886;207.370;950.884;375.236;1.619.376
2021-03;85.349;205.926;941.382;371.513;1.604.170
2021-04;84.830;205.034;927.958;366.725;1.584.547
2021-05;83.636;201.863;911.660;360.211;1.557.370
2021-06;81.992;197.699;899.690;355.230;1.534.611
2021-07;80.675;194.484;879.222;348.134;1.502.515
2021-08;80.199;193.303;864.169;342.002;1.479.673
2021-09;79.657;191.563;846.738;335.535;1.453.493
2021-10;78.433;188.607;825.282;327.972;1.420.294
2021-11;75.683;183.029;800.287;316.728;1.375.727
2021-12;73.898;179.066;778.544;308.236;1.339.744
2021-13;71.418;172.931;753.419;297.731;1.295.499
2021-14;68.554;160.379;718.834;283.910;1.231.677
2021-15;61.963;145.753;671.298;264.517;1.143.531
2021-16;54.484;126.409;552.677;219.587;953.157
