variant;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
BA.1;35;0,61
BA.1.1;158;2,76
BA.1.1.1;37;0,65
BA.1.1.11;1;0,02
BA.1.1.14;6;0,1
BA.1.1.2;1;0,02
BA.1.1.7;2;0,03
BA.1.15;2;0,03
BA.1.15.1;1;0,02
BA.1.17;7;0,12
BA.1.17.2;25;0,44
BA.1.18;3;0,05
BA.1.19;1;0,02
BA.1.21;5;0,09
BA.1.21.1;5;0,09
BA.2;4007;70,04
BA.2.1;13;0,23
BA.2.10;72;1,26
BA.2.10.1;6;0,1
BA.2.12;13;0,23
BA.2.12.1;7;0,12
BA.2.13;3;0,05
BA.2.14;2;0,03
BA.2.18;6;0,1
BA.2.19;1;0,02
BA.2.2;1;0,02
BA.2.21;1;0,02
BA.2.22;4;0,07
BA.2.23;26;0,45
BA.2.25;1;0,02
BA.2.3;363;6,35
BA.2.3.3;1;0,02
BA.2.31;1;0,02
BA.2.34;1;0,02
BA.2.5;18;0,31
BA.2.7;4;0,07
BA.2.9;791;13,83
BA.3;35;0,61
BA.3.1;3;0,05
BA.4;36;0,63
BA.5;16;0,28
