Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;95.358;223.217;970.071;393.371;1.682.017
2021-43;95.319;223.428;979.207;396.721;1.694.675
2021-44;95.126;223.561;984.151;398.162;1.701.000
2021-45;94.889;223.213;1.001.199;405.389;1.724.690
2021-46;94.733;222.645;996.951;402.213;1.716.542
2021-47;95.097;224.021;1.002.813;405.280;1.727.211
2021-48;93.296;219.563;989.585;399.231;1.701.675
2021-49;91.954;216.800;989.331;400.163;1.698.248
2021-50;92.697;218.329;975.385;395.122;1.681.533
2021-51;92.131;216.541;956.021;387.513;1.652.206
2021-52;90.849;214.040;939.453;378.794;1.623.136
2022-01;89.950;211.161;933.640;377.190;1.611.941
2022-02;89.330;209.791;915.879;370.143;1.585.143
2022-03;88.323;207.175;906.267;365.893;1.567.658
2022-04;87.797;205.683;889.637;360.854;1.543.971
2022-05;84.193;197.891;869.885;352.186;1.504.155
2022-06;81.757;191.956;839.861;339.768;1.453.342
2022-07;75.917;178.852;800.640;323.044;1.378.453
2022-08;72.819;171.225;737.810;299.090;1.280.944
2022-09;59.409;141.386;600.675;244.069;1.045.539
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
