Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.285;4.252;1.682.017;2,53;866;9,08;612;2,74;2285;2,36;489;1,24
2021-43;1.294;4.966;1.694.675;2,93;1168;12,25;697;3,12;2576;2,63;525;1,32
2021-44;1.299;5.590;1.701.000;3,29;1285;13,51;829;3,71;2844;2,89;632;1,59
2021-45;1.315;6.671;1.724.690;3,87;1605;16,91;1053;4,72;3241;3,24;772;1,90
2021-46;1.305;7.301;1.716.542;4,25;1760;18,58;1157;5,20;3563;3,57;821;2,04
2021-47;1.314;7.816;1.727.211;4,53;1697;17,84;1252;5,59;3903;3,89;964;2,38
2021-48;1.293;7.589;1.701.675;4,46;1476;15,82;1192;5,43;3969;4,01;952;2,38
2021-49;1.290;7.111;1.698.248;4,19;1266;13,77;1063;4,90;3846;3,89;936;2,34
2021-50;1.280;7.583;1.681.533;4,51;1220;13,16;1115;5,11;4246;4,35;1002;2,54
2021-51;1.259;7.955;1.652.206;4,81;1031;11,19;1074;4,96;4810;5,03;1040;2,68
2021-52;1.237;8.539;1.623.136;5,26;817;8,99;1036;4,84;5545;5,90;1141;3,01
2022-01;1.228;8.062;1.611.941;5,00;704;7,83;988;4,68;5279;5,65;1091;2,89
2022-02;1.210;7.849;1.585.143;4,95;691;7,74;981;4,68;5154;5,63;1023;2,76
2022-03;1.195;7.222;1.567.658;4,61;742;8,40;1003;4,84;4587;5,06;890;2,43
2022-04;1.180;5.902;1.543.971;3,82;729;8,30;905;4,40;3561;4,00;707;1,96
2022-05;1.148;4.826;1.504.155;3,21;636;7,55;777;3,93;2869;3,30;544;1,54
2022-06;1.111;4.064;1.453.342;2,80;624;7,63;641;3,34;2306;2,75;493;1,45
2022-07;1.052;3.614;1.378.453;2,62;665;8,76;600;3,35;1929;2,41;420;1,30
2022-08;982;3.487;1.280.944;2,72;688;9,45;648;3,78;1744;2,36;407;1,36
2022-09;797;3.025;1.045.539;2,89;618;10,40;577;4,08;1548;2,58;282;1,16
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
