Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;43;303;61.289;4,94;65;15,92;60;6,78;148;4,38;30;2,06
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;177;741;239.710;3,09;154;11,05;104;3,10;414;3,01;69;1,26
P.A. di Bolzano;5;25;7.659;3,26;1;2,97;1;1,17;21;4,42;2;1,17
P. A. di Trento;13;42;18.452;2,28;6;8,61;5;2,59;29;2,61;2;0,42
Veneto;33;49;45.184;1,08;9;2,41;5;0,60;30;1,29;5;0,51
Friuli V.G.;4;8;5.242;1,53;-;-;-;-;7;2,61;1;0,72
Liguria;20;84;25.636;3,28;15;13,33;17;5,55;47;3,34;5;0,68
Emilia Romagna;34;148;41.754;3,54;49;22,39;17;3,06;68;2,86;14;1,36
Toscana;30;118;50.807;2,32;32;13,39;29;4,65;49;1,81;8;0,53
Umbria;6;38;5.925;6,41;17;16,59;17;7,50;4;2,16;-;-
Marche;16;64;19.457;3,29;12;5,47;11;2,05;41;4,84;-;-
Lazio;192;570;253.691;2,25;74;7,63;88;3,45;352;2,22;56;0,93
Abruzzo;34;162;40.135;4,04;39;15,43;42;7,03;60;2,61;21;2,42
Molise;10;5;10.330;0,48;-;-;-;-;5;0,75;-;-
Campania;7;-;8.250;-;-;-;-;-;-;-;-;-
Puglia;56;267;68.708;3,89;66;10,92;77;5,96;102;2,84;22;1,59
Basilicata;11;4;14.147;0,28;1;0,56;3;1,23;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;94;380;113.111;3,36;71;15,91;96;7,99;167;2,42;46;1,66
Sardegna;11;13;14.506;0,90;7;5,77;5;1,75;1;0,13;-;-
