Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2007-42;15-21 ottobre 2007;822;209;1.075.194;0,19;64.169;30;0,47;129.981;19;0,15;666.481;126;0,19;214.563;34;0,16
2007-43;22-28 ottobre 2007;839;353;1.112.987;0,32;65.623;44;0,67;133.821;54;0,4;691.445;209;0,3;222.098;46;0,21
2007-44;29 ottobre-4 novembre 2007;857;290;1.133.791;0,26;66.954;37;0,55;136.386;39;0,29;704.275;158;0,22;226.176;56;0,25
2007-45;5-11 novembre 2007;885;477;1.172.206;0,41;69.957;91;1,3;142.702;79;0,55;726.430;249;0,34;233.117;58;0,25
2007-46;12-18 novembre 2007;899;608;1.191.998;0,51;69.756;98;1,4;142.611;101;0,71;740.577;328;0,44;239.054;81;0,34
2007-47;19-25 novembre 2007;914;729;1.197.422;0,61;71.311;118;1,65;143.526;127;0,88;743.373;394;0,53;239.212;90;0,38
2007-48;26 novembre-2 dicembre 2007;885;914;1.157.504;0,79;71.020;149;2,1;143.171;171;1,19;714.527;483;0,68;228.786;111;0,49
2007-49;3-9 dicembre 2007;922;1.079;1.206.693;0,89;72.786;165;2,27;147.324;195;1,32;746.894;598;0,8;239.689;121;0,5
2007-50;10-16 dicembre 2007;916;1.444;1.198.903;1,2;71.920;235;3,27;145.566;263;1,81;742.277;789;1,06;239.140;157;0,66
2007-51;17-23 dicembre 207;903;2.224;1.175.626;1,89;72.095;334;4,63;143.142;508;3,55;728.036;1.187;1,63;232.353;195;0,84
2007-52;24-30 dicembre 2007;812;3.126;1.070.366;2,92;61.951;364;5,88;126.398;603;4,77;666.387;1.866;2,8;215.630;293;1,36
2008-01;31 dicembre 2007-6 gennaio 2008;913;5.468;1.198.250;4,56;71.783;548;7,63;144.485;830;5,74;743.483;3.569;4,8;238.499;521;2,18
2008-02;7-13 gennaio 2008;940;7.390;1.234.887;5,98;72.184;853;11,82;146.368;1.241;8,48;769.790;4.627;6,01;246.545;669;2,71
2008-03;14-20 gennaio 2008;936;8.017;1.225.495;6,54;74.520;1.473;19,77;150.663;1.983;13,16;758.265;3.960;5,22;242.047;601;2,48
2008-04;21-27 gennaio 208;914;8.346;1.200.731;6,95;71.963;1.596;22,18;145.479;2.392;16,44;746.098;3.799;5,09;237.191;559;2,36
2008-05;28 gennaio-3 febbraio 2008;917;8.701;1.206.563;7,21;71.273;1.643;23,05;145.168;2.535;17,46;751.043;3.925;5,23;239.079;598;2,5
2008-06;4-10 febbraio 2008;909;8.287;1.192.437;6,95;69.443;1.566;22,55;140.989;2.449;17,37;744.158;3.664;4,92;237.847;608;2,56
2008-07;11-17 febbraio 2008;905;7.839;1.185.316;6,61;71.063;1.350;19;142.156;2.153;15,15;737.231;3.736;5,07;234.866;600;2,55
2008-08;18-24 febbraio 2008;895;7.421;1.174.934;6,32;69.558;1.184;17,02;138.936;2.004;14,42;732.264;3.664;5;234.176;569;2,43
2008-09;25 febbraio-2 marzo 2008;887;6.555;1.165.703;5,62;68.834;1.084;15,75;138.103;1.723;12,48;727.147;3.223;4,43;231.619;525;2,27
2008-10;3-9 marzo 2008;872;4.705;1.140.119;4,13;67.990;742;10,91;135.699;1.224;9,02;710.849;2.324;3,27;225.581;415;1,84
2008-11;10-16 marzo 2008;826;2.978;1.082.848;2,75;63.184;459;7,26;127.397;733;5,75;676.092;1.528;2,26;216.175;258;1,19
2008-12;17-23 marzo 2008;793;2.009;1.045.931;1,92;59.443;286;4,81;117.970;459;3,89;657.930;1.055;1,6;210.588;209;0,99
2008-13;24-30 marzo 2008;787;1.390;1.040.374;1,34;58.424;192;3,29;116.630;262;2,25;655.639;779;1,19;209.681;157;0,75
2008-14;31 marzo-6 aprile 2008;759;966;999.892;0,97;57.341;128;2,23;113.985;162;1,42;628.134;548;0,87;200.432;128;0,64
2008-15;7-13 aprile 2008;711;644;941.501;0,68;52.677;81;1,54;105.108;101;0,96;593.877;377;0,63;189.839;85;0,45
2008-16;14-0 aprile 2008;622;394;827.900;0,48;44.056;59;1,34;89.412;49;0,55;526.642;239;0,45;167.790;47;0,28
2008-17;21-27 aprile 2008;433;176;568.094;0,31;30.898;27;0,87;63.080;23;0,36;358.056;110;0,31;116.060;16;0,14
