"date","publication","url","age_group","vaccine_status","pop_diagnoses","diagnoses","pop_day_diagnoses","diagnoses_start","diagnoses_end","total_diagnoses","perc_pop_diagnoses","perc_diagnoses","pop_hosp","hosp","pop_day_hosp","hosp_start","hosp_end","total_hosp","perc_pop_hosp","perc_hosp","pop_icu","icu","pop_day_icu","icu_start","icu_end","total_icu","perc_pop_icu","perc_icu","pop_deaths","deaths","pop_day_deaths","deaths_start","deaths_end","total_deaths","perc_pop_deaths","perc_deaths"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","12_39","NON VACCINATI",14011891,13549,2021-06-26,2021-06-11,2021-07-11,17435555,0.803638944,"0.000966964",14011891,513,2021-06-26,2021-06-04,2021-07-04,17435555,0.803638944,"0.0000366",14011891,13,2021-06-26,2021-06-04,2021-07-04,17435555,0.803638944,"0.000000928",14011891,7,2021-06-26,2021-05-21,2021-06-20,17435555,0.803638944,"0.0000005"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","12_39","VACCINATI CON CICLO INCOMPLETO",1815895,1243,2021-06-26,2021-06-11,2021-07-11,17435555,0.104148965,"0.000684511",1815895,11,2021-06-26,2021-06-04,2021-07-04,17435555,0.104148965,"0.00000606",1815895,0,2021-06-26,2021-06-04,2021-07-04,17435555,0.104148965,"0",1815895,1,2021-06-26,2021-05-21,2021-06-20,17435555,0.104148965,"0.000000551"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","12_39","VACCINATI CON CICLO COMPLETO",1607769,528,2021-06-26,2021-06-11,2021-07-11,17435555,0.092212092,"0.000328405",1607769,4,2021-06-26,2021-06-04,2021-07-04,17435555,0.092212092,"0.00000249",1607769,0,2021-06-26,2021-06-04,2021-07-04,17435555,0.092212092,"0",1607769,0,2021-06-26,2021-05-21,2021-06-20,17435555,0.092212092,"0"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","40_59","NON VACCINATI",9340510,5747,2021-06-26,2021-06-11,2021-07-11,18447460,0.506330411,"0.000615277",9340510,779,2021-06-26,2021-06-04,2021-07-04,18447460,0.506330411,"0.0000834",9340510,66,2021-06-26,2021-06-04,2021-07-04,18447460,0.506330411,"0.00000707",9340510,45,2021-06-26,2021-05-21,2021-06-20,18447460,0.506330411,"0.00000482"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","40_59","VACCINATI CON CICLO INCOMPLETO",5502988,1586,2021-06-26,2021-06-11,2021-07-11,18447460,0.298306,"0.000288207",5502988,51,2021-06-26,2021-06-04,2021-07-04,18447460,0.298306,"0.00000927",5502988,3,2021-06-26,2021-06-04,2021-07-04,18447460,0.298306,"0.000000545",5502988,4,2021-06-26,2021-05-21,2021-06-20,18447460,0.298306,"0.000000727"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","40_59","VACCINATI CON CICLO COMPLETO",3603962,727,2021-06-26,2021-06-11,2021-07-11,18447460,0.195363589,"0.000201722",3603962,24,2021-06-26,2021-06-04,2021-07-04,18447460,0.195363589,"0.00000666",3603962,0,2021-06-26,2021-06-04,2021-07-04,18447460,0.195363589,"0",3603962,1,2021-06-26,2021-05-21,2021-06-20,18447460,0.195363589,"0.000000277"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","60_79","NON VACCINATI",3251872,1491,2021-06-26,2021-06-11,2021-07-11,13572779,0.239587781,"0.000458505",3251872,420,2021-06-26,2021-06-04,2021-07-04,13572779,0.239587781,"0.000129156",3251872,47,2021-06-26,2021-06-04,2021-07-04,13572779,0.239587781,"0.0000145",3251872,158,2021-06-26,2021-05-21,2021-06-20,13572779,0.239587781,"0.0000486"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","60_79","VACCINATI CON CICLO INCOMPLETO",5415352,1067,2021-06-26,2021-06-11,2021-07-11,13572779,0.398986236,"0.000197032",5415352,151,2021-06-26,2021-06-04,2021-07-04,13572779,0.398986236,"0.0000279",5415352,17,2021-06-26,2021-06-04,2021-07-04,13572779,0.398986236,"0.00000314",5415352,46,2021-06-26,2021-05-21,2021-06-20,13572779,0.398986236,"0.00000849"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","60_79","VACCINATI CON CICLO COMPLETO",4905555,568,2021-06-26,2021-06-11,2021-07-11,13572779,0.361425984,"0.000115787",4905555,70,2021-06-26,2021-06-04,2021-07-04,13572779,0.361425984,"0.0000143",4905555,2,2021-06-26,2021-06-04,2021-07-04,13572779,0.361425984,"0.000000408",4905555,12,2021-06-26,2021-05-21,2021-06-20,13572779,0.361425984,"0.00000245"
2021-07-14,2021-07-16,"https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf","80+","NON VACCINATI",460790,302,2021-06-26,2021-06-11,2021-07-11,4554107,0.101181198,"0.000655396",460790,168,2021-06-26,2021-06-04,2021-07-04,4554107,0.101181198,"0.000364591",460790,21,2021-06-26,2021-06-04,2021-07-04,4554107,0.101181198,"0.0000456",460790,147,2021-06-26,2021-05-21,2021-06-20,4554107,0.101181198,"0.000319017"
