Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (17/07/2021);dic-39;10.874.565;4.335.470;2.225.520;17.435.555;62,4%;24,9%;12,8%
;40-59;7.042.798;5.406.031;5.998.631;18.447.460;38,2%;29,3%;32,5%
;60-79;2.946.662;3.243.966;5.998.631;12.189.259;24,2%;26,6%;49,2%
;80+;425.736;164.209;3.964.162;4.554.107;9,3%;3,6%;87,0%
;;;;;;;;
Diagnosi di Sars-CoV-2 (02/07/2021 - 01/08/2021);dic-39;45.110;10.523;3.714;59.347;76,0%;17,7%;6,3%
;40-59;11.774;5.001;4.511;21.286;55,3%;23,5%;21,2%
;60-79;2.849;1.813;2.770;7.432;38,3%;24,4%;37,3%
;80+;534;83;1.338;1.955;27,3%;4,2%;68,4%
;;;;;;;;
Ospedalizzazioni (25/06/2021 - 25/07/2021);dic-39;870;62;26;958;90,8%;6,5%;2,7%
;40-59;755;80;60;895;84,4%;8,9%;6,7%
;60-79;755;133;131;1.019;74,1%;13,1%;12,9%
;80+;156;17;187;360;43,3%;4,7%;51,9%
;;;;;;;;
Ricoveri in Terapia Intensiva (25/06/2021 - 25/07/2021);dic-39;26;0;0;26;100,0%;0,0%;0,0%
;40-59;55;2;4;61;90,2%;3,3%;6,6%
;60-79;74;9;13;96;77,1%;9,4%;13,5%
;80+;14;0;6;20;70,0%;0,0%;30,0%
;;;;;;;;
Decessi (11/06/2021 - 11/07/2021);dic-39;2;0;0;2;100,0%;0,0%;0,0%
;40-59;26;0;0;26;100,0%;0,0%;0,0%
;60-79;52;14;5;71;73,2%;19,7%;7,0%
;80+;48;4;29;81;59,3%;4,9%;35,8%
