Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vaccinati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;dic-39;45,91 [45-46,81];72,16 [71,44-72,88]
;40-59;68,05 [67,51-68,59];80,96 [80,53-81,38]
;60-79;76,36 [75,91-76,8];90,01 [89,71-90,3]
;80+;53,13 [51,61-54,61];89,63 [89,3-89,95]
;Totale;64,64 [64,29-64,98];84,7 [84,49-84,9]
;;;
Ospedalizzazioni;dic-39;77,67 [73,14-81,66];85,28 [81,05-88,82]
;40-59;89,4 [88,16-90,56];93,6 [92,53-94,56]
;60-79;85,79 [84,99-86,56];95,58 [95,09-96,04]
;80+;65,67 [63,58-67,67];94,44 [94,06-94,81]
;Totale;81,62 [80,93-82,28];94,85 [94,58-95,12]
;;;
Ricoveri in Terapia Intensiva;dic-39;-;-
;40-59;92,44 [88,67-95,24];96,99 [94,17-98,71]
;60-79;90,16 [88,44-91,69];97,68 [96,7-98,44]
;80+;75,47 [66,95-82,19];95,96 [94,36-97,2]
;Totale;89,15 [87,59-90,56] ;97.1 [96,35-97,73]
;;;
Decessi ;dic-39;-;-
;40-59;85,36 [76,46-91,63] ;93,37 [85,67-97,63]
;60-79;87,22 [85,45-88,84];96,11 [94,83-97,15]
;80+;74,72 [72,27-77];96,59 [96,15-96,99]
;Totale;80,72 [79,24-82,11];96,6 [96,2-96,96]
