Data report;;;Prime diagnosi;Reinfezione
28-dic-21;Fascia d'etˆ;0-19;296.169 (25,7%);3.291 (21,7%)
;;20-39;292.608 (25,4%);5.443 (35,8%)
;;40-59;351.915 (30,5%);4.527 (29,8%)
;;60-79;169.329 (14,7%);1.340 (8,8%)
;;80+;43.072 (3,7%);594 (3,9%)
;Sesso;F;591.742 (51,3%);8.108 (53,4%)
;;M;561.357 (48,7%);7.087 (46,6%)
;Nazionalitˆ;Italiano;1.058.411 (91,8%) ;13.960 (91,9%) 
;;Straniero;94.688 (8,2%) ;1.235 (8,1%) 
;Macroarea geografica;Nord;649.307 (56,3%) ;11.385 (74,9%) 
;;Centro;223.173 (19,4%) ;1.652 (10,9%) 
;;Sud;280.619 (24,3%) ;2.158 (14,2%) 
;Operatori sanitari;Si;14.755 (2,1%) ;819 (7,8%) 
;;No (o non noto);696.673 (97,9%) ;9.725 (92,2%) 
;Stato vaccinale;Non vaccinato;945.176 (20,2%) ;3.795 (29,8%) 
;;>= 1 dose dopo prima diagnosi;3.141.248 (67,3%) ;8.426 (66,1%) 
;;>= 1 dose prima della prima diagnosi;583.515 (12,5%) ;531 (4,2%) 
;;;;
05-gen-22;Fascia d'etˆ;0-19;428.714 (23,7%) ;6.756 (18,7%) 
;;20-39;524.688 (29,0%) ;14.478 (40,1%) 
;;40-59;553.680 (30,6%) ;11.125 (30,8%) 
;;60-79;245.252 (13,6%) ;2.857 (7,9%) 
;;80+;56.858 (3,1%) ;866 (2,4%) 
;Sesso;F;927.649 (51,3%) ;19.079 (52,9%) 
;;M;881.572 (48,7%) ;17.003 (47,1%) 
;Nazionalitˆ;Italiano;1.678.831 (92,8%) ;33.499 (92,8%) 
;;Straniero;130.390 (7,2%) ;2.583 (7,2%) 
;Macroarea geografica;Nord;1.055.007 (58,3%) ;26.784 (74,2%) 
;;Centro;315.638 (17,4%) ;2.972 (8,2%) 
;;Sud;438.576 (24,2%) ;6.326 (17,5%) 
;Operatori sanitari;Si;23.206 (2,0%) ;1.846 (6,8%) 
;;No (o non noto);1.156.115 (98,0%) ;25.192 (93,2%) 
;Stato vaccinale;Non vaccinato;971.964 (19,9%) ;7.591 (23,9%) 
;;>= 1 dose dopo prima diagnosi;3.147.315 (64,4%) ;23.001 (72,5%) 
;;>= 1 dose prima della prima diagnosi;771.094 (15,8%) ;1.122 (3,5%) 
;;;;
12-gen-22;Fascia d'etˆ;0-19;455.338 (21,3%) ;10.891 (17,1%) 
;;20-39;706.091 (33,0%) ;26.520 (41,6%) 
;;40-59;670.689 (31,3%) ;20.622 (32,3%) 
;;60-79;258.810 (12,1%) ;4.734 (7,4%) 
;;80+;48.884 (2,3%) ;1.048 (1,6%) 
;Sesso;F;1.097.778 (51,3%) ;33.793 (53,0%) 
;;M;1.042.090 (48,7%) ;30.022 (47,0%) 
;Nazionalitˆ;Italiano;2.006.101 (93,7%) ;59.097 (92,6%) 
;;Straniero;133.767 (6,3%) ;4.718 (7,4%) 
;Macroarea geografica;Nord;1.338.945 (62,6%) ;48.767 (76,4%) 
;;Centro;336.741 (15,7%) ;4.581 (7,2%) 
;;Sud;464.182 (21,7%) ;10.467 (16,4%) 
;Operatori sanitari;Si;24.493 (1,6%) ;2.770 (5,6%) 
;;No (o non noto);1.465.880 (98,4%) ;46.956 (94,4%) 
;Stato vaccinale;Non vaccinato;364.151 (18,4%) ;12.804 (22,3%) 
;;>= 1 dose dopo prima diagnosi;6.527 (0,3%) ;42.719 (74,5%) 
;;>= 1 dose prima della prima diagnosi;1.610.396 (81,3%) ;1.834 (3,2%) 
;;;;
19-gen-22;Fascia d'etˆ;0-19;679.919 (22,0%) ;17.507 (17,5%) 
;;20-39;989.797 (32,0%) ;39.002 (38,9%) 
;;40-59;975.411 (31,5%) ;33.841 (33,7%) 
;;60-79;375.257 (12,1%) ;7.862 (7,8%) 
;;80+;76.236 (2,5%) ;2.060 (2,1%) 
;Sesso;F;1.593.860 (51,5%) ;53.362 (53,2%) 
;;M;1.502.825 (48,5%) ;46.910 (46,8%) 
;Nazionalitˆ;Italiano;2.884.607 (93,2%) ;92.091 (91,8%) 
