Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2016-42;17-23 ottobre 2016;914;711;1.195.202;0,59;<2,44 ;71.896;98;1,36;157.121;85;0,54;700.370;447;0,64;265.815;81;0,3
2016-43;24-30 ottobre 2016;978;910;1.278.606;0,71;<2,44 ;76.687;121;1,58;166.840;123;0,74;748.673;553;0,74;286.406;113;0,39
2016-44;31 ottobre-6 novembre 2016;1.020;1.084;1.337.438;0,81;<2,44 ;77.899;136;1,75;173.109;131;0,76;785.341;681;0,87;301.089;136;0,45
2016-45;7-13 novembre 2016;1.043;1.340;1.368.032;0,98;<2,44 ;79.822;196;2,46;177.558;187;1,05;802.881;804;1;307.771;153;0,5
2016-46;14-20 novembre 2016;1.051;1.726;1.378.292;1,25;<2,44 ;81.633;236;2,89;180.701;279;1,54;806.569;1.034;1,28;309.389;177;0,57
2016-47;21-27 novembre 2016;1.049;2.178;1.376.418;1,58;<2,44 ;80.659;340;4,22;178.044;366;2,06;808.009;1.240;1,53;309.706;232;0,75
2016-48;28 novembre-4 dicembre 2016;1.040;2.727;1.362.363;2;<2,44 ;79.779;438;5,49;176.811;519;2,94;798.858;1.493;1,87;306.915;277;0,9
2016-49;5-11 dicembre 2016;1.044;3.447;1.369.108;2,52;<6,54 ;80.440;495;6,15;178.104;696;3,91;802.203;1.869;2,33;308.361;387;1,26
2016-50;12-18 dicembre 2016;1.075;6.080;1.410.698;4,31;<6,54 ;81.742;810;9,91;180.747;1.173;6,49;830.461;3.466;4,17;317.748;631;1,99
2016-51;19-25 dicembre 2016;1.112;9.781;1.351.057;7,24;<11,94 ;80.372;1.546;19,24;179.182;2.379;13,28;788.793;4.842;6,14;302.710;1.014;3,35
2016-52;26 dicembre 2016-1 gennaio 2017;1.047;13.051;1.364.195;9,57;<11,94 ;79.284;1.974;24,9;174.561;2.304;13,2;806.124;6.979;8,66;304.226;1.794;5,9
2017-01;2-8 gennaio 2017;1.027;12.178;1.340.131;9,09;<11,94 ;79.974;1.377;17,22;178.835;1.755;9,81;781.054;7.148;9,15;300.268;1.898;6,32
2017-02;9-15 gennaio 2017;1.050;11.961;1.374.557;8,7;<11,94 ;82.222;1.287;15,65;183.604;1.733;9,44;800.289;7.096;8,87;308.442;1.845;5,98
2017-03;16-22 gennaio 2017;1.051;10.486;1.377.649;7,61;<11,94 ;82.504;1.527;18,51;183.875;2.060;11,2;802.445;5.591;6,97;308.825;1.308;4,24
2017-04;23-29 gennaio 2017;1.036;8.996;1.360.334;6,61;<6,54 ;81.574;1.432;17,55;180.632;1.912;10,59;794.397;4.650;5,85;303.731;1.002;3,3
2017-05;30 gennaio-5 febbraio 2017;1.036;7.649;1.357.172;5,64;<6,54 ;82.045;1.248;15,21;183.436;1.597;8,71;788.537;3.960;5,02;303.154;844;2,78
2017-06;6-12 febbraio 2017;1.015;5.652;1.328.704;4,25;<6,54 ;79.047;956;12,09;175.071;1.240;7,08;776.159;2.869;3,7;298.427;587;1,97
2017-07;13-19 febbraio 2017;1.005;4.203;1.315.730;3,19;<6,54 ;77.779;734;9,44;174.704;927;5,31;768.049;2.139;2,78;295.198;403;1,37
2017-08;20-26 febbraio 2017;994;3.437;1.303.076;2,64;<6,54 ;75.309;517;6,87;168.393;665;3,95;765.450;1.883;2,46;293.924;372;1,27
2017-09;27 febbraio-5 marzo 2017;974;2.785;1.274.081;2,19;<2,44 ;75.392;434;5,76;167.593;526;3,14;743.446;1.498;2,01;287.650;327;1,14
2017-10;6-12 marzo 2017;964;2.219;1.261.984;1,76;<2,44 ;75.585;333;4,41;166.931;426;2,55;735.784;1.238;1,68;283.684;222;0,78
2017-11;13-19 marzo 2017;951;1.848;1.246.411;1,48;<2,44 ;73.462;295;4,02;162.824;315;1,93;729.207;1.040;1,43;280.918;198;0,7
2017-12;20-26 marzo 2017;936;1.525;1.226.681;1,24;<2,44 ;71.395;248;3,47;160.521;244;1,52;718.223;857;1,19;276.542;176;0,64
2017-13;27 marzo-2 aprile 2017;887;1.214;1.166.026;1,04;<2,44 ;66.544;190;2,86;148.160;210;1,42;685.859;693;1,01;265.463;121;0,46
2017-14;3-9 aprile 2017;878;1.007;1.152.973;0,87;<2,44 ;65.969;139;2,11;148.060;176;1,19;677.044;579;0,86;261.900;113;0,43
2017-15;10-16 aprile 2017;823;747;1.082.410;0,69;<2,44 ;58.726;123;2,09;132.980;128;0,96;642.770;412;0,64;247.934;84;0,34
2017-16;17-23 aprile 2017;743;566;977.887;0,58;<2,44 ;54.214;86;1,59;121.389;83;0,68;580.112;323;0,56;222.172;74;0,33
2017-17;24-30 aprile 2017;531;392;702.654;0,56;<2,44 ;35.355;49;1,39;81.795;46;0,56;419.677;238;0,57;165.827;59;0,36
