Nomenclatura OMS;Lignaggio;Numero di casi (cumulativi);% (cumulativi);Numero di casi (ultimi 45 gg);% (ultimi 45 gg)
Alfa;B.1.1.7;27.927;36,9;14;0,3
;B.1.1.7 + E484K;75;0,1;0;0
Beta (a);B.1.351;289;0,4;0;0
Gamma (b);P.1;2.828;3,7;1;<0,1
Delta (c) ;B.1.617.2;35.867;47,4;4.899;91,4
ND (d,e);B.1.525;464;0,6;0;0
ND (d,e);B.1.617.1;500;0,7;46;0,9
ND (d);B.1.617.3;30;<0,1;0;0
ND (d,e);P.2;5;<0,1;0;0
;Altro lignaggio /non indicato (f);7.668;10,1;402;7,5
Totale;;75.653;100;5.362;100
;;;;;
a: la variante beta include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;;;
b: la variante gamma include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;;;
d: non disponibile;;;;;
e: precedentemente ÒetaÓ (B.1.525), ÒkappaÓ (B.1.617.1) e ÒzetaÓ (P.2);;;;;
f: si intende un caso genotipizzato appartenente ad altro lignaggio oppure ad un lignaggio non indicato dalle Regioni/PA. ;;;;;
