Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2019-46;11-17 novembre 2019;FLU A;3;307;273
2019-46;11-17 novembre 2019;A;0;307;273
2019-46;11-17 novembre 2019;A(H3N2) ;2;307;273
2019-46;11-17 novembre 2019;A(H1N1) pdm09 ;1;307;273
2019-46;11-17 novembre 2019;FLU B;0;307;273
2019-47;18-24 novembre 2019;FLU A;3;514;466
2019-47;18-24 novembre 2019;A;0;514;466
2019-47;18-24 novembre 2019;A(H3N2);1;514;466
2019-47;18-24 novembre 2019;A(H1N1) pdm09 ;2;514;466
2019-47;18-24 novembre 2019;FLU B;1;514;466
2019-48;25 novembre-1 dicembre 2019;FLU A;15;383;343
2019-48;25 novembre-1 dicembre 2019;A;0;383;343
2019-48;25 novembre-1 dicembre 2019;A(H3N2);9;383;343
2019-48;25 novembre-1 dicembre 2019;A(H1N1) pdm09 ;6;383;343
2019-48;25 novembre-1 dicembre 2019;FLU B;3;383;343
2019-49;2-8 dicembre 2019;FLU A;26;544;469
2019-49;2-8 dicembre 2019;A;1;544;469
2019-49;2-8 dicembre 2019;A(H3N2);22;544;469
2019-49;2-8 dicembre 2019;A(H1N1) pdm09 ;3;544;469
2019-49;2-8 dicembre 2019;FLU B;1;544;469
2019-50;9-15 dicembre 2019;FLU A;38;444;393
2019-50;9-15 dicembre 2019;A;0;444;393
2019-50;9-15 dicembre 2019;A(H3N2);27;444;393
2019-50;9-15 dicembre 2019;A(H1N1) pdm09 ;11;444;393
2019-50;9-15 dicembre 2019;FLU B;7;444;393
2019-51;16-22 dicembre 2019;FLU A;54;518;471
2019-51;16-22 dicembre 2019;A;5;518;471
2019-51;16-22 dicembre 2019;A(H3N2);42;518;471
2019-51;16-22 dicembre 2019;A(H1N1) pdm09 ;7;518;471
2019-51;16-22 dicembre 2019;FLU B;21;518;471
2019-52;23-29 dicembre 2019;FLU A;46;385;354
2019-52;23-29 dicembre 2019;A;4;385;354
2019-52;23-29 dicembre 2019;A(H3N2);31;385;354
2019-52;23-29 dicembre 2019;A(H1N1) pdm09 ;11;385;354
2019-52;23-29 dicembre 2019;FLU B;22;385;354
2020-01;30 dicembre 2019-5 gennaio 2020;FLU A;60;538;483
2020-01;30 dicembre 2019-5 gennaio 2020;A;5;538;483
2020-01;30 dicembre 2019-5 gennaio 2020;A(H3N2);30;538;483
2020-01;30 dicembre 2019-5 gennaio 2020;A(H1N1) pdm09 ;25;538;483
2020-01;30 dicembre 2019-5 gennaio 2020;FLU B;25;538;483
2020-02;6-12 gennaio 2020;FLU A;128;872;796
2020-02;6-12 gennaio 2020;A;3;872;796
