Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2009-42;12-18 ottobre 2009;607;1.411;800.360;1,76;45.542;283;6,21;94.818;408;4,3;500.397;630;1,26;159.603;90;0,56
2009-43;19-25 ottobre 2009;1.094;6.379;1.419.989;4,49;98.112;1.027;10,47;193.598;2.787;14,40;846.515;2.304;2,72;281.764;261;0,93
2009-44;26 ottobre-1 novembre 2009;1.133;13.716;1.472.629;9,31;101.746;1.830;17,99;202.312;6.822;33,72;878.095;4.687;5,34;290.476;377;1,30
2009-45;2-8 novembre 2009;1.150;18.893;1.494.023;12,65;105.533;2.717;25,75;207.282;9.037;43,60;888.019;6.644;7,48;293.189;495;1,69
2009-46;9-15 novembre 2009;1.165;19.515;1.509.971;12,92;108.495;2.788;25,70;211.597;9.128;43,14;894.505;7.049;7,88;295.374;550;1,86
2009-47;16-22 novembre 2009;1.141;16.318;1.480.887;11,02;106.412;2.427;22,81;208.308;7.519;36,10;875.461;5.875;6,71;290.706;497;1,71
2009-48;23-29 novembre 2009;1.148;9.989;1.486.770;6,72;107.627;1.676;15,57;209.372;4.003;19,12;879.669;3.864;4,39;290.102;446;1,54
2009-49;30 novembre-6 dicembre 2009;1.082;5.269;1.400.389;3,76;101.243;952;9,40;196.523;1.738;8,84;828.017;2.277;2,75;274.606;302;1,10
2009-50;7-13 dicembre 2009;1.124;3.284;1.457.341;2,25;102.921;602;5,85;201.554;912;4,52;866.466;1.520;1,75;286.400;250;0,87
2009-51;14-20 dicembre 2009;1.132;2.707;1.471.026;1,84;104.995;462;4,40;206.281;685;3,32;869.183;1.318;1,52;290.567;242;0,83
2009-52;21-27 dicembre 2009;1.085;1.870;1.420.740;1,32;99.446;274;2,76;197.388;454;2,30;844.388;928;1,10;279.518;214;0,77
2009-53;28 dicembre 2009-3 gennaio 2010;1.034;1.726;1.337.006;1,29;93.240;228;2,45;186.680;390;2,09;794.770;868;1,09;262.316;240;0,91
2010-01;4-10 gennaio 2010;1.111;1.966;1.443.528;1,36;99.278;240;2,42;198.025;344;1,74;860.443;1.112;1,29;285.782;270;0,94
2010-02;11-17 gennaio 2010;1.142;2.169;1.480.339;1,47;104.972;309;2,94;206.017;418;2,03;878.085;1.183;1,35;291.265;259;0,89
2010-03;18-24 gennaio 2010;1.134;2.451;1.466.107;1,67;104.933;494;4,71;204.910;545;2,66;866.374;1.197;1,38;289.890;215;0,74
2010-04;25-31 gennaio 2010;1.134;2.798;1.463.800;1,91;103.275;594;5,75;203.847;609;2,99;867.899;1.342;1,55;288.779;253;0,88
2010-05;1-7 febbraio 2010;1.127;2.916;1.458.557;2,00;104.436;647;6,20;204.387;681;3,33;862.580;1.329;1,54;287.154;259;0,90
2010-06;8-14 febbraio 2010;1.103;3.011;1.423.086;2,12;102.516;704;6,87;200.542;739;3,69;840.030;1.299;1,55;279.998;269;0,96
2010-07;15-21 febbraio 2010;1.102;2.945;1.425.207;2,07;100.558;757;7,53;196.570;735;3,74;845.729;1.201;1,42;282.350;252;0,89
2010-08;22-28 febbraio 2010;1.096;2.802;1.416.534;1,98;102.201;761;7,45;198.174;801;4,04;838.234;1.014;1,21;277.925;226;0,81
2010-09;1-7 marzo 2010;1.077;2.508;1.387.460;1,81;100.631;623;6,19;194.849;720;3,70;819.013;952;1,16;272.967;213;0,78
2010-10;8-14 marzo 2010;1.076;2.288;1.386.900;1,65;100.356;579;5,77;195.542;629;3,22;817.035;884;1,08;273.967;196;0,72
2010-11;15-21 marzo 2010;1.049;1.872;1.352.529;1,38;98.410;466;4,74;190.914;514;2,69;793.920;730;0,92;269.285;162;0,60
2010-12;22-28 marzo 2010;1.023;1.693;1.318.026;1,28;95.929;412;4,29;184.818;473;2,56;775.275;643;0,83;262.004;165;0,63
2010-13;29 marzo-4 aprile 2010;996;1.345;1.283.945;1,05;91.603;337;3,68;176.359;348;1,97;759.472;522;0,69;256.511;138;0,54
2010-14;5-11 aprile 2010;999;1.204;1.295.391;0,93;91.422;257;2,81;179.249;286;1,60;767.363;518;0,68;257.357;143;0,56
2010-15;12-18 aprile 2010;980;1.041;1.269.040;0,82;89.867;243;2,70;173.671;227;1,31;751.138;442;0,59;254.364;129;0,51
