Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2018-46;12-18 novembre 2018;FLU A;7;193;193
2018-46;12-18 novembre 2018;A;0;193;193
2018-46;12-18 novembre 2018;A(H3N2) ;3;193;193
2018-46;12-18 novembre 2018;A(H1N1) pdm09 ;4;193;193
2018-46;12-18 novembre 2018;FLU B;1;193;193
2018-47;19-25 novembre 2018;FLU A;19;222;222
2018-47;19-25 novembre 2018;A;0;222;222
2018-47;19-25 novembre 2018;A(H3N2);13;222;222
2018-47;19-25 novembre 2018;A(H1N1) pdm09 ;6;222;222
2018-47;19-25 novembre 2018;FLU B;0;222;222
2018-48;26 novembre-2 dicembre 2018;FLU A;20;254;254
2018-48;26 novembre-2 dicembre 2018;A;1;254;254
2018-48;26 novembre-2 dicembre 2018;A(H3N2);11;254;254
2018-48;26 novembre-2 dicembre 2018;A(H1N1) pdm09 ;8;254;254
2018-48;26 novembre-2 dicembre 2018;FLU B;0;254;254
2018-49;3-9 dicembre 2018;FLU A;19;320;320
2018-49;3-9 dicembre 2018;A;0;320;320
2018-49;3-9 dicembre 2018;A(H3N2);9;320;320
2018-49;3-9 dicembre 2018;A(H1N1) pdm09 ;10;320;320
2018-49;3-9 dicembre 2018;FLU B;0;320;320
2018-50;10-16 dicembre 2018;FLU A;35;346;346
2018-50;10-16 dicembre 2018;A;0;346;346
2018-50;10-16 dicembre 2018;A(H3N2);10;346;346
2018-50;10-16 dicembre 2018;A(H1N1) pdm09 ;25;346;346
2018-50;10-16 dicembre 2018;FLU B;0;346;346
2018-51;17-23 dicembre 2018;FLU A;55;410;410
2018-51;17-23 dicembre 2018;A;1;410;410
2018-51;17-23 dicembre 2018;A(H3N2);22;410;410
2018-51;17-23 dicembre 2018;A(H1N1) pdm09 ;32;410;410
2018-51;17-23 dicembre 2018;FLU B;0;410;410
2018-52;24-30 dicembre 2018;FLU A;83;329;312
2018-52;24-30 dicembre 2018;A;6;329;312
2018-52;24-30 dicembre 2018;A(H3N2);19;329;312
2018-52;24-30 dicembre 2018;A(H1N1) pdm09 ;58;329;312
2018-52;24-30 dicembre 2018;FLU B;0;329;312
2019-01;31 dicembre 2018-6 gennaio 2019;FLU A;142;462;426
2019-01;31 dicembre 2018-6 gennaio 2019;A;3;462;426
2019-01;31 dicembre 2018-6 gennaio 2019;A(H3N2);41;462;426
2019-01;31 dicembre 2018-6 gennaio 2019;A(H1N1) pdm09 ;98;462;426
