variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;18.431;21,33;4;0,03
B.1.1.7 + E484K;33;0,04;0;0,00
Q.1;110;0,13;0;0,00
Q.2;1.004;1,16;0;0,00
Q.4;6;0,01;1;0,01
Q.7;1;<0,01;0;0,00
Q.8;6;0,01;0;0,00
20I (Alpha, V1);85;0,10;0;0,00
B.1.351;59;0,07;0;0,00
B.1.351.2;3;<0,01;0;0,00
B.1.351.3;38;0,04;0;0,00
B.1.351.5;6;0,01;0;0,00
20H (Beta, V2);29;0,03;0;0,00
P.1;187;0,22;0;0,00
P.1.1;2.238;2,59;0;0,00
P.1.2;2;<0,01;0;0,00
P.1.7;1;<0,01;0;0,00
P.1.10;1;<0,01;0;0,00
P.1.12;7;0,01;0;0,00
P.1.12.1;3;<0,01;0;0,00
P.1.14;3;<0,01;0;0,00
P.1.15;19;0,02;0;0,00
P.1.16;5;0,01;0;0,00
P.1.17;2;<0,01;0;0,00
P.1.17.1;2;<0,01;0;0,00
20J (Gamma, V3);162;0,19;0;0,00
B.1.617.2;2.066;2,39;279;2,29
AY.1;8;0,01;0;0,00
AY.3;24;0,03;0;0,00
AY.4;4.387;5,08;980;8,06
AY.4.2;164;0,19;78;0,64
AY.4.2.1;22;0,03;12;0,10
AY.4.2.2;80;0,09;71;0,58
AY.4.2.3;631;0,73;235;1,93
AY.4.3;30;0,03;2;0,02
AY.4.4;57;0,07;3;0,02
AY.4.5;368;0,43;125;1,03
AY.4.6;27;0,03;7;0,06
AY.4.7;185;0,21;3;0,02
AY.4.8;34;0,04;16;0,13
AY.4.9;268;0,31;25;0,21
AY.5;456;0,53;33;0,27
AY.5.2;1;<0,01;1;0,01
AY.5.3;3;<0,01;0;0,00
AY.5.4;235;0,27;16;0,13
AY.5.5;33;0,04;0;0,00
AY.6;407;0,47;24;0,20
AY.7;24;0,03;0;0,00
AY.7.1;15;0,02;6;0,05
AY.7.2;895;1,04;18;0,15
AY.9;188;0,22;19;0,16
AY.9.2;1.097;1,27;142;1,17
AY.10;1;<0,01;0;0,00
AY.11;1;<0,01;0;0,00
AY.13;3;<0,01;0;0,00
AY.14;40;0,05;0;0,00
AY.16.1;2;<0,01;0;0,00
AY.19;5;0,01;1;0,01
AY.20;51;0,06;9;0,07
AY.20.1;1;<0,01;1;0,01
AY.21;285;0,33;0;0,00
AY.22;4;<0,01;0;0,00
AY.23;243;0,28;110;0,90
AY.23.2;16;0,02;1;0,01
AY.24;21;0,02;1;0,01
AY.25;35;0,04;1;0,01
AY.25.1;68;0,08;7;0,06
AY.26;11;0,01;0;0,00
AY.27;5;0,01;4;0,03
AY.28;28;0,03;0;0,00
AY.29;6;0,01;0;0,00
AY.29.1;7;0,01;4;0,03
AY.30;1;<0,01;0;0,00
AY.32;86;0,10;4;0,03
AY.33;412;0,48;13;0,11
AY.34;279;0,32;35;0,29
AY.34.1;92;0,11;13;0,11
AY.34.1.1;10;0,01;0;0,00
AY.34.2;1;<0,01;1;0,01
AY.35;6;0,01;0;0,00
AY.36;252;0,29;60;0,49
AY.37;50;0,06;0;0,00
AY.38;25;0,03;0;0,00
AY.39;183;0,21;26;0,21
AY.39.1;3;<0,01;2;0,02
AY.39.2;16;0,02;12;0,10
AY.40;4;<0,01;0;0,00
AY.41;26;0,03;2;0,02
AY.42;1.555;1,80;161;1,32
AY.43;12.339;14,28;2.302;18,92
AY.43.1;1;<0,01;0;0,00
AY.43.2;1;<0,01;0;0,00
AY.43.3;3;<0,01;1;0,01
AY.43.4;14;0,02;4;0,03
AY.43.5;7;0,01;4;0,03
AY.43.6;1;<0,01;0;0,00
AY.44;329;0,38;38;0,31
AY.45;66;0,08;2;0,02
AY.46;352;0,41;96;0,79
AY.46.1;5;0,01;0;0,00
AY.46.2;10;0,01;4;0,03
AY.46.4;2;<0,01;0;0,00
AY.46.5;6;0,01;0;0,00
AY.46.6;1.835;2,12;390;3,21
AY.46.6.1;172;0,20;119;0,98
AY.47;35;0,04;1;0,01
AY.48;8;0,01;0;0,00
AY.50;4;<0,01;0;0,00
AY.51;75;0,09;3;0,02
AY.53;184;0,21;1;0,01
AY.54;5;0,01;2;0,02
AY.55;7;0,01;0;0,00
AY.57;5;0,01;0;0,00
AY.58;719;0,83;83;0,68
AY.59;11;0,01;1;0,01
AY.60;2;<0,01;0;0,00
AY.61;1.399;1,62;3;0,02
AY.62;62;0,07;0;0,00
AY.64;11;0,01;0;0,00
AY.65;13;0,02;2;0,02
AY.66;8;0,01;0;0,00
AY.67;1;<0,01;0;0,00
AY.68;430;0,50;28;0,23
AY.69;4;<0,01;0;0,00
AY.70;107;0,12;30;0,25
AY.71;336;0,39;0;0,00
AY.72;45;0,05;3;0,02
AY.73;15;0,02;0;0,00
AY.74;1;<0,01;0;0,00
AY.75;94;0,11;9;0,07
AY.75.2;3;<0,01;0;0,00
AY.76;1;<0,01;0;0,00
AY.77;1;<0,01;0;0,00
AY.78;5;0,01;3;0,02
AY.81;2;<0,01;1;0,01
AY.84;24;0,03;2;0,02
AY.85;10;0,01;0;0,00
AY.86;5;0,01;2;0,02
AY.87;21;0,02;3;0,02
AY.88;22;0,03;0;0,00
AY.89;6;0,01;0;0,00
AY.90;4;<0,01;0;0,00
AY.91;18;0,02;0;0,00
AY.91.1;2;<0,01;0;0,00
AY.92;354;0,41;13;0,11
AY.93;5;0,01;1;0,01
AY.94;16;0,02;1;0,01
AY.95;65;0,08;1;0,01
AY.96;3;<0,01;1;0,01
AY.98;220;0,25;73;0,60
AY.98.1;2.161;2,50;378;3,11
AY.99;9;0,01;0;0,00
AY.99.1;1;<0,01;0;0,00
AY.99.2;5;0,01;2;0,02
AY.100;42;0,05;9;0,07
AY.101;24;0,03;19;0,16
AY.102;652;0,75;130;1,07
AY.103;236;0,27;74;0,61
AY.104;2;<0,01;0;0,00
AY.105;1;<0,01;1;0,01
AY.106;57;0,07;15;0,12
AY.107;1;<0,01;0;0,00
AY.108;3;<0,01;1;0,01
AY.109;31;0,04;5;0,04
AY.110;93;0,11;22;0,18
AY.111;19;0,02;3;0,02
AY.112;267;0,31;40;0,33
AY.113;31;0,04;13;0,11
AY.114;4;<0,01;0;0,00
AY.116;153;0,18;11;0,09
AY.117;36;0,04;3;0,02
AY.118;74;0,09;5;0,04
AY.119;13;0,02;4;0,03
AY.119.2;415;0,48;87;0,72
AY.120;191;0,22;43;0,35
AY.120.1;5;0,01;1;0,01
AY.120.2;10;0,01;6;0,05
AY.120.2.1;36;0,04;0;0,00
AY.121;370;0,43;116;0,95
AY.121.1;12;0,01;6;0,05
AY.122;8.343;9,65;1.378;11,33
AY.122.1;5;0,01;0;0,00
AY.122.2;2;<0,01;0;0,00
AY.123;8;0,01;2;0,02
AY.124;352;0,41;57;0,47
AY.124.1;6;0,01;1;0,01
AY.125;1.596;1,85;122;1,00
AY.126;524;0,61;253;2,08
AY.127;373;0,43;145;1,19
AY.128;13;0,02;1;0,01
AY.129;474;0,55;59;0,49
AY.131;2;<0,01;0;0,00
AY.132;6;0,01;1;0,01
AY.133;47;0,05;5;0,04
21A (Delta);2.110;2,44;316;2,60
21I (Delta);325;0,38;45;0,37
21J (Delta);1.954;2,26;402;3,30
C.37;15;0,02;0;0,00
C.37.1;4;<0,01;0;0,00
B.1.1.529;147;0,17;146;1,20
BA.1;2.172;2,51;2.170;17,84
21K (Omicron);255;0,30;254;2,09
B.1.525;429;0,50;0;0,00
21D;58;0,07;0;0,00
Totale;487;0,56;0;0,00
B.1.617.1;19;0,02;0;0,00
P.2;5;0,01;0;0,00
Other;4.740;5,48;18;0,15
