Nomenclatura OMS;Lignaggio;Numero di casi (ultimi 45 gg);% (ultimi 45 gg)
Alfa;B.1.1.7;0;0
;B.1.1.7 + E484K;0;0
Beta (a);B.1.351;0;0
Gamma (b);P.1;0;0
Delta (c) ;B.1.617.2;497;7,1
Omicron (d);B.1.1.529 ;5010;71,4
ND (e,f);B.1.525;0;0
ND (e,f);B.1.617.1;0;0
ND (e);B.1.617.3;0;0
ND (e,f);P.2;0;0
;Altro lignaggio/non indicato (g);1506;21
Totale;;7.013;100
;;;
a: la variante Beta include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;
b: la variante Gamma include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi ;;;
c: la variante Delta include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi ;;;
d: la variante Omicron include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;
e: non disponibile;;;
f: precedentemente “eta” (B.1.525), “kappa” (B.1.617.1) e “zeta” (P.2);;;
g: si intende un caso genotipizzato appartenente ad altro lignaggio oppure ad un lignaggio non indicato dalle Regioni/PA. ;;;
