Nomenclatura OMS;Lignaggio;"Numero sequenze
(cumulativi)";"%
(cumulativi)*";"Numero sequenze
(ultimi 45 gg)**";"%
(ultimi 45 gg)**"
Alfa (a);B.1.1.7;26.628;30,82;5;0,06
Beta (a);B.1.351;142;0,16;0;0
Gamma (a);P.1;2.699;3,12;23;0
Delta (a);B.1.617.2;42.062;48,68;6812;76,14
Lambda (a);C.37;18;0,02;0;0
Mu;B.1.621;82;0,09;0;0
Omicron (a);B.1.529;1869;2,16;1868;20,88
ND (a,b);B.1.640 ;15;0,02;1;0,01
ND (b,c);B.1.525;469;0,54;0;0
ND (b,c);B.1.617.1;19;0,02;0;0
ND (b);B.1.617.3;0;0;0;0
ND (b,c);P.2;3;0;0;0
;Altro lignaggio;12404;14,35;261;2,92
Totale;;86410;;100;
;;;;;
a: la variante include anche i relativi sotto-lignaggi;;;;;
b: non disponibile;;;;;
c: precedentemente “eta” (B.1.525), “kappa” (B.1.617.1) e “zeta” (P.2) ;;;;;
