Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2011-42;17-23 ottobre 2011;942;568;1.218.830;0,47;<2;81.856;115;1,4;158.570;72;0,45;730.045;328;0,45;248.359;53;0,21
2011-43;24-30 ottobre 2011;964;678;1.249.580;0,54;<2;85.923;151;1,76;166.349;75;0,45;746.032;398;0,53;251.276;54;0,21
2011-44;31 ottobre-6 novembre 2011;1.011;697;1.309.539;0,53;<2;89.906;137;1,52;174.811;78;0,45;781.727;396;0,51;263.095;86;0,33
2011-45;7-13 novembre 2011;1.030;967;1.337.774;0,72;<2;90.411;171;1,89;176.456;106;0,6;799.759;579;0,72;271.148;111;0,41
2011-46;14-20 novembre 2011;1.051;1.213;1.365.436;0,89;<2;95.289;205;2,15;183.513;160;0,87;812.613;744;0,92;274.021;104;0,38
2011-47;21-27 novembre 2011;1.057;1.557;1.371.719;1,14;<2;94.771;267;2,82;183.149;210;1,15;816.853;925;1,13;276.946;155;0,56
2011-48;28 novembre-4 dicembre 2011;1.038;1.735;1.343.497;1,29;<2;91.782;298;3,25;180.518;285;1,58;800.088;988;1,23;271.109;164;0,6
2011-49;5-11 dicembre 2011;1.062;1.885;1.381.052;1,36;<2;93.555;333;3,56;182.261;330;1,81;825.226;1044;1,27;280.010;178;0,64
2011-50;12-18 dicembre 2011;1.066;2.430;1.382.449;1,76;<2;94.302;418;4,43;181.998;449;2,47;827.047;1355;1,64;279.102;208;0,75
2011-51;19-25 dicembre 2011;996;2.843;1.293.427;2,2;<5;88.940;584;6,57;174.530;578;3,31;769.285;1462;1,9;260.672;219;0,84
2011-52;26 dicembre 2011-1 gennaio 2012;1.025;4.074;1.325.645;3,07;<5;89.078;768;8,62;174.312;737;4,23;793.155;2161;2,72;269.100;408;1,52
2012-01;2-8 gennaio 2012;1.053;4.256;1.361.517;3,13;<5;92.961;593;6,38;180.584;687;3,8;813.565;2497;3,07;274.407;479;1,75
2012-02;9-15 gennaio 2012;1.086;5.945;1.402.095;4,24;<5;98.104;898;9,15;189.545;1034;5,46;832.470;3363;4,04;281.976;650;2,31
2012-03;16-22 gennaio 2012;1.090;8.881;1.407.940;6,31;<9;98.517;1982;20,12;191.234;2162;11,31;834.597;4038;4,84;283.592;699;2,46
2012-04;23-29 gennaio 2012;1.089;12.514;1.412.141;8,86;<9;96.349;2952;30,64;188.781;3361;17,8;841.882;5391;6,4;285.129;810;2,84
2012-05;30 gennaio-5 febbraio 2012;1.085;13.539;1.405.229;9,63;>=9;97.796;2710;27,71;189.151;3270;17,29;835.173;6490;7,77;283.109;1069;3,78
2012-06;6-12 febbraio 2012;1.067;12.252;1.381.410;8,87;<9;93.947;2161;23;183.200;2646;14,44;824.049;6387;7,75;280.214;1058;3,78
2012-07;13-19 febbraio 2012;1.052;9.698;1.360.331;7,13;<9;93.132;1638;17,59;181.793;2001;11,01;810.105;5215;6,44;275.301;844;3,07
2012-08;20-26 febbraio 2012;1.017;7.553;1.313.876;5,75;<9;92.421;1216;13,16;177.753;1483;8,34;777.997;4106;5,28;265.705;748;2,82
2012-09;27 febbraio-4 marzo 2012;1.016;5.305;1.318.923;4,02;<5;88.312;848;9,6;170.966;951;5,56;791.752;2964;3,74;267.893;542;2,02
2012-10;5-11 marzo 2012;995;3.800;1.288.852;2,95;<5;87.085;625;7,18;171.526;726;4,23;768.591;2057;2,68;261.650;392;1,5
2012-11;12-18 marzo 2012;958;2.642;1.242.685;2,13;<5;82.473;428;5,19;161.810;527;3,26;743.903;1405;1,89;254.499;282;1,11
2012-12;19-25 marzo 2012;947;1.828;1.227.499;1,49;<2;84.853;336;3,96;163.785;348;2,12;730.307;975;1,34;248.554;169;0,68
2012-13;26 marzo-1 aprile 2012;909;1.320;1.192.452;1,11;<2;81.397;249;3,06;157.412;222;1,41;711.706;728;1,02;241.937;121;0,5
2012-14;2-8 aprile 2012;842;904;1.089.584;0,83;<2;75.210;156;2,07;144.642;154;1,06;647.309;496;0,77;222.423;98;0,44
2012-15;9-15 aprile 2012;824;879;1.068.233;0,82;<2;69.851;126;1,8;137.492;140;1,02;641.169;527;0,82;219.721;86;0,39
2012-16;16-22 aprile 2012;757;658;979.992;0,67;<2;62.339;122;1,96;124.717;115;0,92;588.972;357;0,61;203.964;64;0,31
2012-17;23-29 aprile 2012;543;313;703.107;0,45;<2;43.076;60;1,39;86.061;61;0,71;425.219;155;0,36;148.751;37;0,25
