Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.285;4.252;1.682.017;2,53;866;9,08;612;2,74;2285;2,36;489;1,24
2021-43;1.294;4.966;1.694.675;2,93;1168;12,25;697;3,12;2576;2,63;525;1,32
2021-44;1.299;5.590;1.701.000;3,29;1285;13,51;829;3,71;2844;2,89;632;1,59
2021-45;1.315;6.671;1.724.690;3,87;1605;16,91;1053;4,72;3241;3,24;772;1,90
2021-46;1.305;7.301;1.716.542;4,25;1760;18,58;1157;5,20;3563;3,57;821;2,04
2021-47;1.313;7.816;1.725.708;4,53;1697;17,85;1252;5,59;3903;3,90;964;2,38
2021-48;1.292;7.589;1.700.172;4,46;1476;15,82;1192;5,43;3969;4,02;952;2,39
2021-49;1.288;7.111;1.695.268;4,19;1266;13,77;1063;4,91;3846;3,90;936;2,34
2021-50;1.276;7.579;1.675.594;4,52;1220;13,16;1115;5,11;4242;4,37;1002;2,55
2021-51;1.254;7.928;1.644.752;4,82;1031;11,19;1074;4,96;4785;5,03;1038;2,69
2021-52;1.231;8.509;1.615.286;5,27;817;8,99;1036;4,84;5518;5,91;1138;3,02
2022-01;1.221;8.014;1.602.198;5,00;704;7,83;988;4,68;5235;5,65;1087;2,90
2022-02;1.200;7.788;1.571.470;4,96;690;7,75;978;4,68;5104;5,63;1016;2,77
2022-03;1.182;7.060;1.550.521;4,55;742;8,52;1003;4,88;4458;4,98;857;2,37
2022-04;1.159;5.717;1.516.482;3,77;721;8,35;880;4,33;3441;3,94;675;1,90
2022-05;1.118;4.625;1.463.305;3,16;630;7,62;764;3,91;2728;3,23;503;1,47
2022-06;1.049;3.802;1.371.379;2,77;570;7,39;618;3,38;2158;2,73;456;1,42
2022-07;951;3.230;1.244.368;2,60;594;8,71;555;3,41;1703;2,36;378;1,29
2022-08;731;2.651;948.489;2,79;544;9,78;537;4,03;1269;2,35;301;1,37
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
