Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;36;255;49.658;5,14;48;12,23;41;5,11;140;5,35;26;2,26
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;170;758;223.614;3,39;175;10,89;120;3,22;379;3,11;84;1,73
P.A. di Bolzano;5;14;7.659;1,83;4;11,87;3;3,51;7;1,47;-;-
P. A. di Trento;7;15;10.082;1,49;2;6,04;2;2,09;10;1,61;1;0,39
Veneto;24;18;33.824;0,53;5;2,39;2;0,44;8;0,43;3;0,34
Friuli V.G.;6;30;7.908;3,79;8;9,80;3;1,10;15;5,07;4;2,84
Liguria;19;68;25.030;2,72;13;11,56;15;4,92;30;2,18;10;1,41
Emilia Romagna;28;110;30.872;3,56;35;18,92;30;6,79;37;2,15;8;1,08
Toscana;24;112;38.824;2,88;33;12,26;22;3,16;49;2,63;8;0,76
Umbria;6;37;6.397;5,78;18;17,56;18;8,10;1;0,47;-;-
Marche;13;26;16.191;1,61;4;2,51;2;0,50;17;2,26;3;0,97
Lazio;177;472;232.625;2,03;64;7,00;68;2,84;266;1,84;74;1,34
Abruzzo;28;101;33.793;2,99;21;8,31;33;5,66;34;1,84;13;1,86
Molise;11;12;12.164;0,99;-;-;-;-;12;1,47;-;-
Campania;10;42;12.511;3,36;7;6,32;21;8,81;10;1,44;4;1,92
Puglia;50;194;63.354;3,06;52;15,22;60;7,70;63;1,67;19;1,31
Basilicata;12;37;15.639;2,37;6;2,65;20;5,85;8;1,11;3;1,09
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;102;344;124.572;2,76;45;9,94;75;6,03;183;2,37;41;1,36
Sardegna;2;6;2.226;2,70;4;7,38;2;1,19;-;-;-;-
