Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.134;4.016;1.475.600;2,72;811;10,02;550;2,87;2192;2,56;463;1,33
2021-43;1.143;4.738;1.488.176;3,18;1109;13,65;640;3,32;2486;2,88;503;1,43
2021-44;1.130;5.101;1.471.039;3,47;1179;14,74;707;3,72;2634;3,08;581;1,68
2021-45;1.083;5.755;1.409.864;4,08;1401;18,39;848;4,68;2850;3,47;656;1,97
2021-46;856;5.331;1.117.370;4,77;1300;21,25;801;5,49;2618;4,04;612;2,33
2021-47;;;;;;;;;;;;
2021-48;;;;;;;;;;;;
2021-49;;;;;;;;;;;;
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
