Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;47;405;64.404;6,29;123;29,03;76;8,13;176;4,91;30;2,00
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;211;1.679;280.281;5,99;461;25,10;200;4,78;855;5,44;163;2,59
P.A. di Bolzano;4;12;6.118;1,96;4;11,87;-;-;8;2,18;-;-
P. A. di Trento;4;13;5.762;2,26;4;10,93;1;1,09;8;2,56;-;-
Veneto;29;40;40.753;0,98;7;2,58;-;-;28;1,25;5;0,52
Friuli V.G.;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Liguria;14;48;17.848;2,69;5;7,52;13;8,25;28;2,70;2;0,38
Emilia Romagna;47;287;56.241;5,10;81;27,50;38;5,32;145;4,43;23;1,72
Toscana;34;164;55.231;2,97;44;16,34;26;3,63;77;2,66;17;1,03
Umbria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Marche;14;58;16.231;3,57;12;8,69;18;5,51;16;1,94;12;3,58
Lazio;185;862;243.487;3,54;149;15,74;102;4,12;491;3,24;120;2,08
Abruzzo;35;175;41.735;4,19;45;15,37;42;6,43;68;2,86;20;2,36
Molise;11;16;9.295;1,72;-;-;1;1,83;8;1,32;7;2,89
Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Puglia;104;425;133.169;3,19;60;8,76;51;3,37;254;3,19;60;1,90
Basilicata;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;91;369;111.025;3,32;71;18,15;60;5,87;161;2,33;77;2,77
Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
